Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty India Corporate Group Index - Aditya Birla Group,29-04-2024,-,-,-,7677.13,101.31,1.34,1359369527,3695.36,-,3.45,.41
Nifty India Corporate Group Index - Aditya Birla Group,30-04-2024,-,-,-,7641.88,-35.25,-.46,982982995,3144.23,-,3.43,.41
Nifty India Corporate Group Index - Aditya Birla Group,02-05-2024,-,-,-,7661.43,19.56,.26,841161422,3208.77,-,3.44,.41
Nifty India Corporate Group Index - Aditya Birla Group,03-05-2024,-,-,-,7639.21,-22.22,-.29,871331799,2976.04,-,3.44,.41
Nifty India Corporate Group Index - Aditya Birla Group,06-05-2024,-,-,-,7553.77,-85.45,-1.12,710324459,2176.69,-,3.4,.42
Nifty India Corporate Group Index - Aditya Birla Group,07-05-2024,-,-,-,7426.3,-127.47,-1.69,1323836975,2956.19,-,3.34,.42
Nifty India Corporate Group Index - Aditya Birla Group,08-05-2024,-,-,-,7394.29,-32.01,-.43,659202046,2088.38,-,3.33,.42
Nifty India Corporate Group Index - Aditya Birla Group,09-05-2024,-,-,-,7292.67,-101.62,-1.37,663433118,1957.04,-,3.28,.43
Nifty India Corporate Group Index - Aditya Birla Group,10-05-2024,-,-,-,7364.57,71.9,.99,391333889,1391.8,-,3.32,.43
Nifty India Corporate Group Index - Aditya Birla Group,13-05-2024,-,-,-,7411.41,46.84,.64,380920331,1446.97,-,3.34,.42
Nifty India Corporate Group Index - Aditya Birla Group,14-05-2024,-,-,-,7497.54,86.12,1.16,764918005,2040.6,-,3.38,.42
Nifty India Corporate Group Index - Aditya Birla Group,15-05-2024,-,-,-,7498.65,1.11,.01,420298106,1558.59,-,3.38,.42
Nifty India Corporate Group Index - Aditya Birla Group,16-05-2024,-,-,-,7530.49,31.84,.42,471996486,1952.48,-,3.39,.42
Nifty India Corporate Group Index - Aditya Birla Group,17-05-2024,-,-,-,7635.41,104.92,1.39,654735314,2156.72,-,3.44,.41
