SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
PROINDIA,BE,1.4,1.45,1.4,1.45,1.45,0.4,6922,9719.4,20-MAY-2021,15,INE217G01035,
PROINDIA,BE,1.5,1.5,1.5,1.5,1.5,1.45,606,909,21-MAY-2021,12,INE217G01035,
PROINDIA,BE,1.55,1.55,1.55,1.55,1.55,1.5,985,1526.75,24-MAY-2021,13,INE217G01035,
PROINDIA,BE,1.6,1.6,1.6,1.6,1.6,1.55,1124,1798.4,25-MAY-2021,4,INE217G01035,
PROINDIA,BE,1.65,1.65,1.65,1.65,1.65,1.6,102,168.3,26-MAY-2021,2,INE217G01035,
PROINDIA,BE,1.7,1.7,1.7,1.7,1.7,1.65,381,647.7,27-MAY-2021,11,INE217G01035,
PROINDIA,BE,1.75,1.75,1.75,1.75,1.75,1.7,418,731.5,28-MAY-2021,5,INE217G01035,
PROINDIA,BE,1.8,1.8,1.8,1.8,1.8,1.75,870,1566,31-MAY-2021,5,INE217G01035,
PROINDIA,BE,1.85,1.85,1.85,1.85,1.85,1.8,1675,3098.75,01-JUN-2021,5,INE217G01035,
PROINDIA,BE,1.9,1.9,1.9,1.9,1.9,1.85,586,1113.4,02-JUN-2021,7,INE217G01035,
PROINDIA,EQ,2.05,2.05,2.05,2.05,2.05,1.9,2033,4167.65,03-JUN-2021,5,INE217G01035,
PROINDIA,EQ,2.25,2.25,2.25,2.25,2.25,2.05,537,1208.25,04-JUN-2021,9,INE217G01035,
PROINDIA,EQ,2.45,2.45,2.45,2.45,2.45,2.25,133,325.85,07-JUN-2021,8,INE217G01035,
PROINDIA,EQ,2.55,2.55,2.55,2.55,2.55,2.45,559,1425.45,08-JUN-2021,8,INE217G01035,
PROINDIA,EQ,2.65,2.65,2.65,2.65,2.65,2.55,138,365.7,09-JUN-2021,5,INE217G01035,
PROINDIA,EQ,2.75,2.75,2.75,2.75,2.75,2.65,946,2601.5,10-JUN-2021,8,INE217G01035,
PROINDIA,EQ,2.85,2.85,2.85,2.85,2.85,2.75,265,755.25,11-JUN-2021,6,INE217G01035,
PROINDIA,EQ,2.95,2.95,2.95,2.95,2.95,2.85,1745,5147.75,14-JUN-2021,5,INE217G01035,
PROINDIA,EQ,3.05,3.05,3.05,3.05,3.05,2.95,312,951.6,15-JUN-2021,7,INE217G01035,
PROINDIA,EQ,3.2,3.2,3.2,3.2,3.2,3.05,105,336,16-JUN-2021,2,INE217G01035,
PROINDIA,EQ,3.35,3.35,3.35,3.35,3.35,3.2,291,974.85,17-JUN-2021,5,INE217G01035,
PROINDIA,EQ,3.5,3.5,3.5,3.5,3.5,3.35,12,42,18-JUN-2021,2,INE217G01035,
PROINDIA,EQ,3.65,3.65,3.65,3.65,3.65,3.5,1163,4244.95,21-JUN-2021,7,INE217G01035,
PROINDIA,EQ,3.8,3.8,3.8,3.8,3.8,3.65,273,1037.4,22-JUN-2021,5,INE217G01035,
PROINDIA,EQ,3.95,3.95,3.95,3.95,3.95,3.8,343,1354.85,23-JUN-2021,10,INE217G01035,
PROINDIA,EQ,4.1,4.1,4.1,4.1,4.1,3.95,68,278.8,24-JUN-2021,6,INE217G01035,
PROINDIA,EQ,4.3,4.3,4.3,4.3,4.3,4.1,673,2893.9,25-JUN-2021,9,INE217G01035,
PROINDIA,EQ,4.5,4.5,4.5,4.5,4.5,4.3,114,513,28-JUN-2021,4,INE217G01035,
PROINDIA,EQ,4.7,4.7,4.7,4.7,4.7,4.5,159,747.3,29-JUN-2021,5,INE217G01035,
PROINDIA,EQ,4.9,4.9,4.9,4.9,4.9,4.7,1244,6095.6,30-JUN-2021,5,INE217G01035,
PROINDIA,EQ,5.1,5.1,5.1,5.1,5.1,4.9,15,76.5,01-JUL-2021,2,INE217G01035,
PROINDIA,EQ,5.35,5.35,5.35,5.35,5.35,5.1,225,1203.75,02-JUL-2021,3,INE217G01035,
PROINDIA,EQ,5.6,5.6,5.6,5.6,5.6,5.35,2201,12325.6,05-JUL-2021,4,INE217G01035,
PROINDIA,EQ,5.85,5.85,5.85,5.85,5.85,5.6,1948,11395.8,06-JUL-2021,8,INE217G01035,
PROINDIA,EQ,6.1,6.1,6.1,6.1,6.1,5.85,993,6057.3,07-JUL-2021,11,INE217G01035,
PROINDIA,EQ,6.4,6.4,6.4,6.4,6.4,6.1,2131,13638.4,08-JUL-2021,8,INE217G01035,
PROINDIA,EQ,6.7,6.7,6.7,6.7,6.7,6.4,274,1835.8,09-JUL-2021,7,INE217G01035,
PROINDIA,EQ,7,7,7,7,7,6.7,2647,18529,12-JUL-2021,16,INE217G01035,
PROINDIA,EQ,7.35,7.35,7.35,7.35,7.35,7,851,6254.85,13-JUL-2021,5,INE217G01035,
PROINDIA,EQ,7.7,7.7,7.7,7.7,7.7,7.35,535,4119.5,14-JUL-2021,15,INE217G01035,
PROINDIA,EQ,8.05,8.05,8.05,8.05,8.05,7.7,3416,27498.8,15-JUL-2021,10,INE217G01035,
PROINDIA,EQ,8.45,8.45,8.45,8.45,8.45,8.05,1585,13393.25,16-JUL-2021,16,INE217G01035,
PROINDIA,BE,8.85,8.85,8.85,8.85,8.85,8.45,1601,14168.85,19-JUL-2021,11,INE217G01035,
PROINDIA,BE,9.25,9.25,9.25,9.25,9.25,8.85,657,6077.25,20-JUL-2021,11,INE217G01035,
PROINDIA,BE,9.7,9.7,9.7,9.7,9.7,9.25,924,8962.8,22-JUL-2021,16,INE217G01035,
PROINDIA,BE,10.15,10.15,10.15,10.15,10.15,9.7,1197,12149.55,23-JUL-2021,18,INE217G01035,
PROINDIA,BE,10.65,10.65,10.65,10.65,10.65,10.15,438,4664.7,26-JUL-2021,60,INE217G01035,
PROINDIA,BE,11.15,11.15,11.15,11.15,11.15,10.65,1178,13134.7,27-JUL-2021,15,INE217G01035,
PROINDIA,BE,11.7,11.7,11.7,11.7,11.7,11.15,758,8868.6,28-JUL-2021,16,INE217G01035,
PROINDIA,BE,12.25,12.25,12.25,12.25,12.25,11.7,578,7080.5,29-JUL-2021,9,INE217G01035,
