SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
BHARATRAS,EQ,1100,1100,1050.05,1061.75,1070,1078.65,173,186563.65,01-JAN-2016,35,INE838B01013,
BHARATRAS,EQ,1103,1150,1072,1099.1,1110,1061.75,1272,1413961.75,04-JAN-2016,105,INE838B01013,
BHARATRAS,EQ,1120,1140,1100,1108.4,1101,1099.1,569,631476,05-JAN-2016,32,INE838B01013,
BHARATRAS,EQ,1118,1120,1100,1101,1101,1108.4,369,409941.85,06-JAN-2016,45,INE838B01013,
BHARATRAS,EQ,1072.3,1118.85,1066,1076.25,1090,1101,413,442969.75,07-JAN-2016,38,INE838B01013,
BHARATRAS,EQ,1067.05,1114,1057,1083.55,1070,1076.25,1995,2135392.15,08-JAN-2016,108,INE838B01013,
BHARATRAS,EQ,1105,1105,1066.3,1088.7,1091.5,1083.55,71,77537.75,11-JAN-2016,14,INE838B01013,
BHARATRAS,EQ,1067.5,1089,1050,1050.15,1050,1088.7,660,700475,12-JAN-2016,43,INE838B01013,
BHARATRAS,EQ,1050,1099,1025,1050.05,1096.2,1050.15,832,869747,13-JAN-2016,78,INE838B01013,
BHARATRAS,EQ,1021,1069.95,1005,1019.3,1015,1050.05,504,514035,14-JAN-2016,53,INE838B01013,
BHARATRAS,EQ,1074.95,1075.8,1000,1005.8,1000,1019.3,218,220291.5,15-JAN-2016,21,INE838B01013,
BHARATRAS,EQ,945.5,1043.95,936,999.15,1000,1005.8,482,477101.4,18-JAN-2016,36,INE838B01013,
BHARATRAS,EQ,995,1035,970,1004,1000,999.15,676,674999.65,19-JAN-2016,59,INE838B01013,
BHARATRAS,EQ,980.05,995,920,945.05,945,1004,898,858579.6,20-JAN-2016,80,INE838B01013,
BHARATRAS,EQ,955,980,955,980,980,945.05,4,3845,21-JAN-2016,2,INE838B01013,
BHARATRAS,EQ,980,999.95,950,999.75,999.95,980,292,286361.8,22-JAN-2016,13,INE838B01013,
BHARATRAS,EQ,1028,1038.95,1010,1020.45,1038.95,999.75,177,180765.9,25-JAN-2016,26,INE838B01013,
BHARATRAS,EQ,1025,1039,1020,1020.6,1039,1020.45,163,166902,27-JAN-2016,13,INE838B01013,
BHARATRAS,EQ,1015,1040,1015,1015.55,1015.55,1020.6,118,119850,28-JAN-2016,4,INE838B01013,
BHARATRAS,EQ,982,982,982,982,982,1015.55,10,9820,29-JAN-2016,1,INE838B01013,
BHARATRAS,EQ,1020,1049.9,961.25,978,980,982,272,275914.95,01-FEB-2016,86,INE838B01013,
BHARATRAS,EQ,978,1035,978,980.55,999,978,904,906210.7,02-FEB-2016,43,INE838B01013,
BHARATRAS,EQ,950,990,950,975.45,990,980.55,197,190615.2,03-FEB-2016,28,INE838B01013,
BHARATRAS,EQ,1020,1020,965,995.9,990.25,975.45,59,58700.25,04-FEB-2016,8,INE838B01013,
BHARATRAS,EQ,1034.05,1034.05,955.1,980.95,981,995.9,214,208618.75,05-FEB-2016,46,INE838B01013,
BHARATRAS,EQ,956,1000,956,985,985,980.95,54,53214.5,08-FEB-2016,23,INE838B01013,
BHARATRAS,EQ,999.95,999.95,970,980.1,980.1,985,153,150204.9,09-FEB-2016,21,INE838B01013,
BHARATRAS,EQ,962,1010,906,936.4,906,980.1,754,738770.2,10-FEB-2016,57,INE838B01013,
BHARATRAS,EQ,989,989,915,920,920,936.4,558,523511.15,11-FEB-2016,33,INE838B01013,
BHARATRAS,EQ,919.4,930,880.1,900,900,920,1363,1237097.15,12-FEB-2016,67,INE838B01013,
BHARATRAS,EQ,906,959,906,926.05,926,900,907,825158.1,15-FEB-2016,17,INE838B01013,
BHARATRAS,EQ,910,949.95,910,944,944,926.05,12,10993.95,16-FEB-2016,4,INE838B01013,
BHARATRAS,EQ,950,950,875,880,890.05,944,2007,1798577.2,17-FEB-2016,141,INE838B01013,
BHARATRAS,EQ,928,928,857.7,859,859,880,1181,1029857,18-FEB-2016,77,INE838B01013,
BHARATRAS,EQ,867.6,870.95,848,869.7,869.65,859,72,61386.4,19-FEB-2016,15,INE838B01013,
BHARATRAS,EQ,848,899,780,861.55,870,869.7,143,120524.3,22-FEB-2016,39,INE838B01013,
BHARATRAS,EQ,869,890,820,857.8,830.25,861.55,735,639456.4,23-FEB-2016,64,INE838B01013,
BHARATRAS,EQ,835,885,835,848.15,850,857.8,692,602479.2,24-FEB-2016,55,INE838B01013,
BHARATRAS,EQ,858.5,868,846.45,857.45,856,848.15,244,209820.95,25-FEB-2016,56,INE838B01013,
BHARATRAS,EQ,855,885,844.1,855.25,850,857.45,685,593964.15,26-FEB-2016,37,INE838B01013,
BHARATRAS,EQ,855,870,701.3,870,870,855.25,2341,1948350.25,29-FEB-2016,162,INE838B01013,
BHARATRAS,EQ,861,895,842,876.55,865.2,870,764,666925.4,01-MAR-2016,186,INE838B01013,
BHARATRAS,EQ,909.95,909.95,882.05,890,890,876.55,407,365546.1,02-MAR-2016,22,INE838B01013,
BHARATRAS,EQ,897.4,900,885.05,897.85,900,890,371,332925.8,03-MAR-2016,32,INE838B01013,
BHARATRAS,EQ,893.95,910,870,870.95,870,897.85,2341,2094211.75,04-MAR-2016,47,INE838B01013,
BHARATRAS,EQ,862.05,900,860,877.15,861,870.95,268,235795.3,08-MAR-2016,62,INE838B01013,
BHARATRAS,EQ,870.05,894.7,870.05,880,880,877.15,8,7079.4,09-MAR-2016,8,INE838B01013,
BHARATRAS,EQ,889.95,890,850,885.05,887,880,225,197664.8,10-MAR-2016,34,INE838B01013,
BHARATRAS,EQ,865.1,889,865.1,870.25,870.15,885.05,325,284387.65,11-MAR-2016,64,INE838B01013,
BHARATRAS,EQ,890,890,873,884.1,885,870.25,505,444292.5,14-MAR-2016,36,INE838B01013,
BHARATRAS,EQ,896.95,896.95,868,879.55,882.95,884.1,184,161059.2,15-MAR-2016,35,INE838B01013,
BHARATRAS,EQ,860.05,895,860,874.45,895,879.55,479,415494.85,16-MAR-2016,53,INE838B01013,
BHARATRAS,EQ,899.9,899.9,880,884.95,880,874.45,92,81805.5,17-MAR-2016,22,INE838B01013,
BHARATRAS,EQ,880,894.95,875.05,882.65,882.25,884.95,99,87413.4,18-MAR-2016,29,INE838B01013,
BHARATRAS,EQ,890.05,890.05,875.1,881.95,889.7,882.65,276,244340.75,21-MAR-2016,19,INE838B01013,
BHARATRAS,EQ,927.8,927.8,886,893.1,893,881.95,504,447742,22-MAR-2016,10,INE838B01013,
BHARATRAS,EQ,900.05,942,895.05,934.9,942,893.1,2944,2735315.9,23-MAR-2016,88,INE838B01013,
BHARATRAS,EQ,935,935,851,873.7,861.25,934.9,538,474160.65,28-MAR-2016,72,INE838B01013,
BHARATRAS,EQ,899.9,923.95,880,894.95,894.95,873.7,10,8962.6,29-MAR-2016,5,INE838B01013,
BHARATRAS,EQ,895.9,960,880.1,904.2,901.05,894.95,993,907246.2,30-MAR-2016,124,INE838B01013,
BHARATRAS,EQ,937.95,937.95,875,880.35,880.1,904.2,1839,1628297.25,31-MAR-2016,148,INE838B01013,
BHARATRAS,EQ,905,908,880.1,881.55,908,880.35,115,101492.35,01-APR-2016,12,INE838B01013,
BHARATRAS,EQ,900,924.95,885.1,899.25,911,881.55,278,250476.75,04-APR-2016,36,INE838B01013,
BHARATRAS,EQ,885,885,870.4,874.45,875,899.25,659,579774.45,05-APR-2016,70,INE838B01013,
