SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
RVNL,EQ,19,19.8,18.65,19.05,19.05,19,89144982,1714820269.95,11-APR-2019,97823,INE415G01027,
RVNL,EQ,19.3,19.9,19.2,19.75,19.8,19.05,29799546,586613148.65,12-APR-2019,35616,INE415G01027,
RVNL,EQ,20,23.7,19.9,23.65,23.7,19.75,80684771,1787984374.2,15-APR-2019,100206,INE415G01027,
RVNL,EQ,24.5,26.95,24.2,25.6,25.65,23.65,98193853,2506252152.9,16-APR-2019,127223,INE415G01027,
RVNL,EQ,26.35,26.85,25.15,26.15,26.25,25.6,49134384,1282370537.35,18-APR-2019,70779,INE415G01027,
RVNL,EQ,26.25,26.4,24.3,24.6,24.45,26.15,27638075,701478386.7,22-APR-2019,45047,INE415G01027,
RVNL,EQ,24.5,24.65,23,23.25,23.3,24.6,23479783,555634614,23-APR-2019,39433,INE415G01027,
RVNL,EQ,23.45,24.2,23.35,23.7,23.7,23.25,10435909,246800502.85,24-APR-2019,17183,INE415G01027,
RVNL,EQ,23.95,24.15,23.2,23.5,23.6,23.7,9656994,228689184.4,25-APR-2019,15321,INE415G01027,
RVNL,EQ,23.5,23.65,22.95,23.05,23.05,23.5,7087998,164067960.85,26-APR-2019,14246,INE415G01027,
RVNL,EQ,23.05,23.05,21.2,22.05,22.1,23.05,12865523,283616058.75,30-APR-2019,26926,INE415G01027,
RVNL,EQ,22.05,24.45,22.05,23.9,24,22.05,21855261,513916204.5,02-MAY-2019,31692,INE415G01027,
RVNL,EQ,24.2,24.35,23.1,23.15,23.25,23.9,7641982,179248600.95,03-MAY-2019,15428,INE415G01027,
RVNL,EQ,22.75,23.1,22.2,22.7,22.75,23.15,4701329,107128857.95,06-MAY-2019,9553,INE415G01027,
RVNL,EQ,23.2,23.55,22.7,22.8,22.9,22.7,4706773,108482637.65,07-MAY-2019,8874,INE415G01027,
RVNL,EQ,22.7,23,22.5,22.6,22.7,22.8,4409931,99944803.45,08-MAY-2019,7488,INE415G01027,
RVNL,EQ,22.5,23.2,22.5,22.8,22.9,22.6,5263687,120261115.15,09-MAY-2019,8387,INE415G01027,
RVNL,EQ,23,23.1,22.6,22.7,22.6,22.8,3917012,89322634.2,10-MAY-2019,6800,INE415G01027,
RVNL,EQ,22.8,22.9,21.85,22,22.05,22.7,6530467,144896264.75,13-MAY-2019,10412,INE415G01027,
RVNL,EQ,21.3,22,21.3,21.85,21.95,22,4430457,95858333.75,14-MAY-2019,10324,INE415G01027,
RVNL,EQ,21.9,22.4,21.75,21.85,21.9,21.85,2788664,61469375.6,15-MAY-2019,7352,INE415G01027,
RVNL,EQ,22,22.05,21.5,21.75,21.9,21.85,2618948,56857196.2,16-MAY-2019,4042,INE415G01027,
RVNL,EQ,21.7,22.4,21.45,22.1,22.2,21.75,4058030,88538725.75,17-MAY-2019,7475,INE415G01027,
RVNL,EQ,24.2,24.5,22.8,23.9,23.9,22.1,10019136,236193512.85,20-MAY-2019,15176,INE415G01027,
