SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SOUTHWEST,EQ,34,34,31,32.1,33.75,30.5,1295,42654.1,18-APR-2019,25,INE980Y01015,
SOUTHWEST,EQ,32,32,27.65,28.1,28,32.1,6884,194338.55,22-APR-2019,37,INE980Y01015,
SOUTHWEST,EQ,31.9,31.9,26.65,28.25,29,28.1,3479,99558.7,23-APR-2019,31,INE980Y01015,
SOUTHWEST,EQ,28.8,28.8,26.7,28.7,28.7,28.25,300,8424.75,24-APR-2019,4,INE980Y01015,
SOUTHWEST,EQ,28.1,28.1,28.1,28.1,28.1,28.7,15,421.5,25-APR-2019,1,INE980Y01015,
SOUTHWEST,EQ,28.8,28.8,26.5,26.5,26.5,28.1,1160,31617,26-APR-2019,8,INE980Y01015,
SOUTHWEST,EQ,28.5,28.5,26.5,26.65,28,26.5,15231,421322.9,30-APR-2019,33,INE980Y01015,
SOUTHWEST,EQ,28,28,26.5,27.9,27.9,26.65,2628,72172.3,02-MAY-2019,14,INE980Y01015,
SOUTHWEST,EQ,25.7,27.9,25.7,27.8,27.8,27.9,6391,169510.25,03-MAY-2019,23,INE980Y01015,
SOUTHWEST,EQ,29,29,26.6,28,28,27.8,62,1681,06-MAY-2019,6,INE980Y01015,
SOUTHWEST,EQ,28.2,29,28.05,28.05,28.5,28,4972,141456.5,07-MAY-2019,20,INE980Y01015,
SOUTHWEST,EQ,29,29,27.6,28.8,28.8,28.05,19080,534409.95,08-MAY-2019,27,INE980Y01015,
SOUTHWEST,EQ,29,29,27,28.5,28.5,28.8,54,1464.4,09-MAY-2019,5,INE980Y01015,
SOUTHWEST,EQ,28,28,27.9,27.9,28,28.5,15401,431128.05,10-MAY-2019,5,INE980Y01015,
SOUTHWEST,EQ,28.4,28.4,25.5,28.35,28.35,27.9,1499,39880.25,13-MAY-2019,7,INE980Y01015,
SOUTHWEST,EQ,28.95,28.95,28,28,28,28.35,16,448.95,14-MAY-2019,2,INE980Y01015,
SOUTHWEST,EQ,29.9,29.9,24.5,28.5,28.5,28,1384,38382.95,15-MAY-2019,20,INE980Y01015,
SOUTHWEST,EQ,26.05,28.5,24.25,28.5,28.5,28.5,2958,80881.2,16-MAY-2019,30,INE980Y01015,
SOUTHWEST,EQ,26.1,28,26.1,28,26.5,28.5,1673,45733.2,17-MAY-2019,15,INE980Y01015,
SOUTHWEST,EQ,29,29,26.5,27.9,27.9,28,92,2476.5,20-MAY-2019,8,INE980Y01015,
SOUTHWEST,EQ,29,29,27,28.2,28.5,27.9,1026,28240,21-MAY-2019,9,INE980Y01015,
SOUTHWEST,EQ,29,29,28,28,28,28.2,502,14057,22-MAY-2019,3,INE980Y01015,
