SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
EROSMEDIA,EQ,240.4,246.9,238.1,241.45,243.5,240.7,395675,95862321.75,01-JAN-2016,7713,INE416L01017,
EROSMEDIA,EQ,240,243.7,235,239.3,240,241.45,516976,123985682.95,04-JAN-2016,11711,INE416L01017,
EROSMEDIA,EQ,244.7,248,242.6,245.45,245.9,239.3,598175,146589787.4,05-JAN-2016,13164,INE416L01017,
EROSMEDIA,EQ,245.9,246.9,238.7,242.25,243.95,245.45,283282,68959430.85,06-JAN-2016,7425,INE416L01017,
EROSMEDIA,EQ,235.6,237.95,229,230,229.35,242.25,360512,83794471.45,07-JAN-2016,7876,INE416L01017,
EROSMEDIA,EQ,232,243,227.95,236.9,235.15,230,728978,172852751.25,08-JAN-2016,14658,INE416L01017,
EROSMEDIA,EQ,231,236.7,228.65,230.1,229.5,236.9,297251,69021025.35,11-JAN-2016,7963,INE416L01017,
EROSMEDIA,EQ,231,236.4,224,226.4,225.7,230.1,342982,78742449.25,12-JAN-2016,8923,INE416L01017,
EROSMEDIA,EQ,228.5,231.5,205.55,212.65,212.2,226.4,912149,196110722.45,13-JAN-2016,17949,INE416L01017,
EROSMEDIA,EQ,204,215,203,205.15,204.65,212.65,633786,131643072.25,14-JAN-2016,16252,INE416L01017,
EROSMEDIA,EQ,209.7,212.7,200.1,202.65,201.8,205.15,500077,103606483.95,15-JAN-2016,9346,INE416L01017,
EROSMEDIA,EQ,201,203.45,179.05,181.1,179.5,202.65,656560,124314665.25,18-JAN-2016,17660,INE416L01017,
EROSMEDIA,EQ,181.15,183.9,168.4,176.2,176.8,181.1,746900,131110027.8,19-JAN-2016,12176,INE416L01017,
EROSMEDIA,EQ,170,174,160.85,165.2,164.75,176.2,673997,112905438.15,20-JAN-2016,13261,INE416L01017,
EROSMEDIA,EQ,169.9,172,163.4,168.35,169,165.2,612756,103013265.1,21-JAN-2016,8407,INE416L01017,
EROSMEDIA,EQ,172.1,179.8,170.45,174.3,174.5,168.35,531284,93220727.35,22-JAN-2016,8816,INE416L01017,
EROSMEDIA,EQ,175.5,185.95,175.5,180.6,180.9,174.3,662631,119919907.6,25-JAN-2016,15022,INE416L01017,
EROSMEDIA,EQ,182,184.5,177.8,178.95,178.85,180.6,311766,56197709.85,27-JAN-2016,6612,INE416L01017,
EROSMEDIA,EQ,180.35,181.8,174.6,177.85,178.5,178.95,292514,52085695.15,28-JAN-2016,5426,INE416L01017,
EROSMEDIA,EQ,177.8,180.5,168,169.4,168.55,177.85,620233,106406279.4,29-JAN-2016,12472,INE416L01017,
EROSMEDIA,EQ,171.8,203.25,169.1,200.55,203.25,169.4,2535888,483921913.25,01-FEB-2016,40376,INE416L01017,
EROSMEDIA,EQ,207,219.5,204,206.8,206,200.55,3156003,671946767.55,02-FEB-2016,44072,INE416L01017,
EROSMEDIA,EQ,200.1,201,191.2,193.1,194.85,206.8,993386,193646400.7,03-FEB-2016,16517,INE416L01017,
EROSMEDIA,EQ,199.4,201.9,184.45,188.1,188,193.1,657056,127176587.55,04-FEB-2016,14677,INE416L01017,
EROSMEDIA,EQ,186.65,193.7,179.5,190.8,192,188.1,520817,96825769.55,05-FEB-2016,10773,INE416L01017,
EROSMEDIA,EQ,186,206.9,185,194.5,195.8,190.8,1254553,248669409.35,08-FEB-2016,23725,INE416L01017,
EROSMEDIA,EQ,194,204.55,192,199.95,201.55,194.5,1039788,206134349.95,09-FEB-2016,15528,INE416L01017,
EROSMEDIA,EQ,183,189.6,176.05,178.6,180,199.95,1208236,221369283.25,10-FEB-2016,17672,INE416L01017,
EROSMEDIA,EQ,178,178,154.6,156.65,158,178.6,910918,150135399.05,11-FEB-2016,14882,INE416L01017,
EROSMEDIA,EQ,159.5,162,145.25,151.6,152,156.65,897669,135984820.75,12-FEB-2016,22544,INE416L01017,
EROSMEDIA,EQ,156,168.8,156,162.95,163.9,151.6,768786,125979086.5,15-FEB-2016,14656,INE416L01017,
EROSMEDIA,EQ,165.7,167,151.45,153.05,153.65,162.95,708545,111339978.8,16-FEB-2016,19132,INE416L01017,
EROSMEDIA,EQ,155.7,157,149.2,153.95,153.65,153.05,837327,128321885.75,17-FEB-2016,28121,INE416L01017,
EROSMEDIA,EQ,156,158.4,147,147.85,147.9,153.95,849611,130035202.75,18-FEB-2016,28758,INE416L01017,
EROSMEDIA,EQ,148,155,148,149.65,149.8,147.85,491472,74344172.1,19-FEB-2016,19775,INE416L01017,
EROSMEDIA,EQ,149,162.55,149,154.6,154.75,149.65,1218768,190223005.8,22-FEB-2016,31149,INE416L01017,
EROSMEDIA,EQ,155.5,156.35,150.7,151.6,151.25,154.6,470339,72008366.05,23-FEB-2016,17294,INE416L01017,
EROSMEDIA,EQ,150.7,151.5,146.1,146.85,147.2,151.6,348485,51771084.9,24-FEB-2016,13829,INE416L01017,
EROSMEDIA,EQ,147.25,149.7,139.25,140.85,141.05,146.85,484607,69288349.8,25-FEB-2016,18027,INE416L01017,
EROSMEDIA,EQ,143.75,144.9,135,136.6,136.5,140.85,529965,73075224.85,26-FEB-2016,18506,INE416L01017,
EROSMEDIA,EQ,137.5,137.55,125.75,127.65,127.3,136.6,680211,88720471.85,29-FEB-2016,29342,INE416L01017,
EROSMEDIA,EQ,130.8,143.4,130.75,142.15,142.7,127.65,1448768,201379947,01-MAR-2016,28908,INE416L01017,
EROSMEDIA,EQ,144.5,147,140.25,141.25,141.05,142.15,932621,133150054.55,02-MAR-2016,30986,INE416L01017,
EROSMEDIA,EQ,142.85,145.45,140.45,143.55,143,141.25,536339,76802660,03-MAR-2016,19614,INE416L01017,
EROSMEDIA,EQ,145,153.85,142.8,150.95,150.5,143.55,1226283,184082014.75,04-MAR-2016,24011,INE416L01017,
EROSMEDIA,EQ,153.3,165,153.3,161.2,161.35,150.95,1489735,239265583.75,08-MAR-2016,22188,INE416L01017,
EROSMEDIA,EQ,160.8,167.6,155,165.2,166.3,161.2,778344,126853918.1,09-MAR-2016,13024,INE416L01017,
EROSMEDIA,EQ,167.3,171.25,164.55,166.3,166.6,165.2,623531,104698401.7,10-MAR-2016,9482,INE416L01017,
EROSMEDIA,EQ,166.15,168.3,158.6,160.05,160.5,166.3,553881,89782867.75,11-MAR-2016,9655,INE416L01017,
EROSMEDIA,EQ,163.2,164.75,159.25,160.9,162,160.05,373665,60573580,14-MAR-2016,9327,INE416L01017,
EROSMEDIA,EQ,162.2,162.2,154.65,156.35,157.5,160.9,534102,83727915.6,15-MAR-2016,10298,INE416L01017,
EROSMEDIA,EQ,158.7,159,155,156.75,156,156.35,514049,80742438.95,16-MAR-2016,7019,INE416L01017,
EROSMEDIA,EQ,160.05,164,157.5,158.2,158,156.75,565728,90909453.9,17-MAR-2016,7290,INE416L01017,
EROSMEDIA,EQ,170,180,170,173.95,173.7,158.2,3537234,621896377.4,18-MAR-2016,42880,INE416L01017,
EROSMEDIA,EQ,171.2,171.7,164,164.95,164.95,173.95,1125184,188065271.2,21-MAR-2016,17683,INE416L01017,
EROSMEDIA,EQ,168.95,176.9,168.95,173.55,173.2,164.95,1443092,249874715.3,22-MAR-2016,21090,INE416L01017,
EROSMEDIA,EQ,172,172,165.4,166.3,166,173.55,740651,123900836.3,23-MAR-2016,24541,INE416L01017,
EROSMEDIA,EQ,167.4,168.25,162.75,163.6,164.05,166.3,318495,52527709.15,28-MAR-2016,5013,INE416L01017,
EROSMEDIA,EQ,164.55,166,161.45,163.5,165,163.6,434996,71121813.55,29-MAR-2016,6396,INE416L01017,
EROSMEDIA,EQ,166.3,175.95,164.75,169.95,170.25,163.5,1514209,257837955,30-MAR-2016,15834,INE416L01017,
EROSMEDIA,EQ,169,171.25,166.5,168.65,168.9,169.95,494796,83630300.75,31-MAR-2016,12115,INE416L01017,
EROSMEDIA,EQ,169.25,175.9,169,173.95,174.8,168.65,631031,109329788.6,01-APR-2016,8732,INE416L01017,
EROSMEDIA,EQ,174.1,178.3,172.75,175.6,175.7,173.95,639039,112031499.55,04-APR-2016,15523,INE416L01017,
EROSMEDIA,EQ,172.25,174.3,168.15,169,170.65,175.6,381388,64923092.35,05-APR-2016,7875,INE416L01017,
EROSMEDIA,EQ,170.4,171.15,167,169.85,170.1,169,235698,39786269.05,06-APR-2016,4213,INE416L01017,
EROSMEDIA,EQ,170.4,171.2,160.25,162.3,161.1,169.85,511922,84598789.25,07-APR-2016,10146,INE416L01017,
EROSMEDIA,EQ,161.8,166.7,160.8,162.5,162.5,162.3,481474,78780022.65,08-APR-2016,8780,INE416L01017,
EROSMEDIA,EQ,164.4,169.5,162.85,167.75,167.55,162.5,533968,88906904.25,11-APR-2016,8605,INE416L01017,
EROSMEDIA,EQ,168.4,171.3,167.6,170.2,170.25,167.75,429196,72571172.45,12-APR-2016,6825,INE416L01017,
EROSMEDIA,EQ,172,174,170.8,171.55,171.4,170.2,373610,64339030.9,13-APR-2016,7387,INE416L01017,
EROSMEDIA,EQ,171.25,171.7,166.6,168,168.3,171.55,198403,33347305.9,18-APR-2016,4641,INE416L01017,
EROSMEDIA,EQ,170,173.9,169.1,170.25,169.5,168,430763,73748550.25,20-APR-2016,7053,INE416L01017,
EROSMEDIA,EQ,172.1,174.95,170.7,171.8,171.05,170.25,459221,79572182.5,21-APR-2016,7003,INE416L01017,
EROSMEDIA,EQ,173,185.4,173,183.4,183.55,171.8,1805818,326950715.25,22-APR-2016,23441,INE416L01017,
