SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
KPITTECH,BE,99,103.95,94.05,103.95,103.95,216.65,1066838,108019995.75,22-APR-2019,3656,INE04I401011,
KPITTECH,BE,109.1,109.1,105.55,109.1,109.1,103.95,746528,81269498.25,23-APR-2019,3794,INE04I401011,
KPITTECH,BE,107,114.55,107,114.55,114.55,109.1,233998,26572534.45,24-APR-2019,1329,INE04I401011,
KPITTECH,BE,116,118.3,110,111.15,112,114.55,941577,106716132.4,25-APR-2019,4054,INE04I401011,
KPITTECH,BE,106.1,111,106.1,108.65,109,111.15,1886188,205403903.7,26-APR-2019,4579,INE04I401011,
KPITTECH,BE,106.2,108.5,103.25,103.25,103.25,108.65,273582,28511587.85,30-APR-2019,3322,INE04I401011,
KPITTECH,BE,103,103,98.1,100.2,100.9,103.25,1542833,154397012.45,02-MAY-2019,14886,INE04I401011,
KPITTECH,BE,102.5,102.5,96.25,100.65,101,100.2,718227,71275300.25,03-MAY-2019,10969,INE04I401011,
KPITTECH,BE,96.8,102.8,96.8,98.3,98.35,100.65,474708,46953137.55,06-MAY-2019,7199,INE04I401011,
KPITTECH,BE,98.3,99.7,94,96.95,99.5,98.3,468706,45663812.3,07-MAY-2019,8784,INE04I401011,
KPITTECH,EQ,94.1,97.2,91.1,96,96.5,96.95,897791,85678098.15,08-MAY-2019,40841,INE04I401011,
KPITTECH,EQ,95,99.85,93.55,97.05,97,96,711118,68094660.85,09-MAY-2019,16799,INE04I401011,
KPITTECH,EQ,96.15,100.55,96,99.7,100.4,97.05,215851,21309269.25,10-MAY-2019,5109,INE04I401011,
KPITTECH,EQ,97.15,99.4,97,97.7,97,99.7,115680,11350684.6,13-MAY-2019,2742,INE04I401011,
KPITTECH,EQ,95.15,98.5,91.8,97.9,97.05,97.7,545794,52477064.15,14-MAY-2019,18973,INE04I401011,
KPITTECH,EQ,96.5,99.45,96,97.85,98,97.9,191792,18644238.3,15-MAY-2019,8429,INE04I401011,
KPITTECH,EQ,97.4,98.7,96.05,97.3,97.75,97.85,704340,68646608,16-MAY-2019,15270,INE04I401011,
KPITTECH,EQ,96.5,105,95.7,97.65,98.1,97.3,424897,41182069.15,17-MAY-2019,18567,INE04I401011,
KPITTECH,EQ,98.2,100.7,97.2,98.7,97.2,97.65,150333,14818277.95,20-MAY-2019,3433,INE04I401011,
KPITTECH,EQ,98,99.95,97.5,98.55,99.95,98.7,567578,55737115.6,21-MAY-2019,11749,INE04I401011,
KPITTECH,EQ,98.05,103,97.55,101.15,101,98.55,176780,17575361.95,22-MAY-2019,6274,INE04I401011,
KPITTECH,EQ,102.9,103.3,99.55,99.95,100,101.15,69621,6996980.5,23-MAY-2019,4327,INE04I401011,
KPITTECH,EQ,101,101,92.3,97.6,98.05,99.95,803107,77467206.05,24-MAY-2019,19109,INE04I401011,
KPITTECH,EQ,98,100,94.4,99.35,99,97.6,99551,9817853.35,27-MAY-2019,2755,INE04I401011,
KPITTECH,EQ,103,103,93.8,96.95,96,99.35,623443,60714494.2,28-MAY-2019,11850,INE04I401011,
KPITTECH,EQ,97.75,97.75,94,95.95,95.25,96.95,265737,25365952.15,29-MAY-2019,9776,INE04I401011,
KPITTECH,EQ,95.5,97.95,95.1,97.2,97.1,95.95,264681,25469439.65,30-MAY-2019,10628,INE04I401011,
KPITTECH,EQ,96.35,99,94.1,97.05,98.55,97.2,339424,32692661.75,31-MAY-2019,14326,INE04I401011,
KPITTECH,EQ,95.1,97.5,94.05,96.25,96.3,97.05,481984,46279305.6,03-JUN-2019,14141,INE04I401011,
KPITTECH,EQ,96,96,94.7,95.05,95.05,96.25,201750,19199644.4,04-JUN-2019,7837,INE04I401011,
KPITTECH,EQ,94.5,96,91.85,95.45,95,95.05,217297,20515971.35,06-JUN-2019,5397,INE04I401011,
KPITTECH,EQ,94.05,95.25,92.7,95,95,95.45,231074,21905063.3,07-JUN-2019,3525,INE04I401011,
KPITTECH,EQ,94.2,95.1,93.1,94.25,93.55,95,243762,22969622.45,10-JUN-2019,12064,INE04I401011,
KPITTECH,EQ,93.5,99,92.7,98.3,98.75,94.25,1273790,123214652.6,11-JUN-2019,14426,INE04I401011,
KPITTECH,EQ,99.75,99.75,96.4,98.05,98,98.3,3216731,315268935.6,12-JUN-2019,5335,INE04I401011,
KPITTECH,EQ,97.15,100.5,96.6,99.15,99.1,98.05,217923,21556693.7,13-JUN-2019,6934,INE04I401011,
KPITTECH,EQ,100.25,100.25,96.5,96.85,96.8,99.15,242232,23582098.2,14-JUN-2019,7973,INE04I401011,
KPITTECH,EQ,95.75,98.25,95.7,97.05,97.15,96.85,173839,16892899.4,17-JUN-2019,7126,INE04I401011,
KPITTECH,EQ,97.15,99,96.15,97.9,98.05,97.05,249303,24368610.3,18-JUN-2019,7622,INE04I401011,
KPITTECH,EQ,97.05,98.9,92.05,93.95,95,97.9,410885,39331589.4,19-JUN-2019,10605,INE04I401011,
KPITTECH,EQ,94.05,99.5,93.05,98.2,99.1,93.95,116647,11394959.6,20-JUN-2019,3927,INE04I401011,
KPITTECH,EQ,97,98.9,94.55,96.45,96,98.2,221737,21444977.7,21-JUN-2019,8633,INE04I401011,
KPITTECH,EQ,96,99.7,94.7,98.6,99.7,96.45,297292,28550173.05,24-JUN-2019,15785,INE04I401011,
KPITTECH,EQ,96.7,99.9,96.7,99.2,99,98.6,199458,19748100.6,25-JUN-2019,11168,INE04I401011,
KPITTECH,EQ,97.15,99.25,95.5,96.6,96,99.2,262917,25505734.95,26-JUN-2019,8033,INE04I401011,
KPITTECH,EQ,95.85,97.05,94.1,95.75,95.2,96.6,155954,14944087.45,27-JUN-2019,4071,INE04I401011,
KPITTECH,EQ,94.2,98,94.2,96.75,97,95.75,260974,25161385.6,28-JUN-2019,5436,INE04I401011,
KPITTECH,EQ,95,98.9,95,97.95,98.75,96.75,599158,58721575.9,01-JUL-2019,7317,INE04I401011,
KPITTECH,EQ,96.5,99.7,96.5,98.8,99.4,97.95,857280,83675476,02-JUL-2019,5103,INE04I401011,
KPITTECH,EQ,98.1,99.6,97.3,98.05,98,98.8,615545,60344304.85,03-JUL-2019,3038,INE04I401011,
KPITTECH,EQ,98,99.4,95.8,98.8,98.8,98.05,120786,11810280.9,04-JUL-2019,2207,INE04I401011,
KPITTECH,EQ,97.3,99,97.05,98.2,98.5,98.8,109202,10701790.55,05-JUL-2019,2175,INE04I401011,
