SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
REMSONSIND,EQ,54,56.95,50.1,54,54,54,506,25940.3,01-JAN-2016,7,INE474C01015,
REMSONSIND,EQ,53.95,53.95,50,52,52,54,1032,53300.9,04-JAN-2016,16,INE474C01015,
REMSONSIND,EQ,55,55,52,52,52,52,747,39556.25,05-JAN-2016,9,INE474C01015,
REMSONSIND,EQ,52,55.9,52,55.9,55.9,52,2050,110650,06-JAN-2016,3,INE474C01015,
REMSONSIND,EQ,55.4,55.4,50,50,50,55.9,225,11460,07-JAN-2016,6,INE474C01015,
REMSONSIND,EQ,50.5,55,50.5,51.05,51.05,50,21,1115.05,08-JAN-2016,3,INE474C01015,
REMSONSIND,EQ,52.5,58,52.5,53,53,51.05,3428,191081.95,11-JAN-2016,42,INE474C01015,
REMSONSIND,EQ,53,53,51.05,52,52,53,126,6542.3,12-JAN-2016,4,INE474C01015,
REMSONSIND,EQ,55.9,55.9,48.75,52,52,52,2082,105234.75,13-JAN-2016,22,INE474C01015,
REMSONSIND,EQ,50,50,50,50,50,52,105,5250,14-JAN-2016,2,INE474C01015,
REMSONSIND,EQ,50,53,47.65,50.15,50.15,50,19205,963795.95,15-JAN-2016,46,INE474C01015,
REMSONSIND,EQ,42.15,49.95,42,49.95,49.95,50.15,376,16374.7,18-JAN-2016,5,INE474C01015,
REMSONSIND,EQ,48.5,49,48.5,49,49,49.95,3417,167333,19-JAN-2016,7,INE474C01015,
REMSONSIND,EQ,48.95,49.95,39.6,42.75,45,49,4407,208364.5,20-JAN-2016,22,INE474C01015,
REMSONSIND,EQ,42.05,49.45,42.05,42.1,42.1,42.75,810,37752.8,21-JAN-2016,10,INE474C01015,
REMSONSIND,EQ,47,50.5,47,50.5,50.5,42.1,1930,95405.6,22-JAN-2016,32,INE474C01015,
REMSONSIND,EQ,57.9,57.9,50.5,50.5,50.5,50.5,17,884.65,25-JAN-2016,6,INE474C01015,
REMSONSIND,EQ,53,55,45.05,52,52,50.5,2023,98910.75,27-JAN-2016,36,INE474C01015,
REMSONSIND,EQ,52,54,52,52.9,54,52,203,10739.5,28-JAN-2016,6,INE474C01015,
REMSONSIND,EQ,57.65,57.85,50.8,50.8,50.8,52.9,201,10660.3,29-JAN-2016,15,INE474C01015,
REMSONSIND,EQ,57,57.05,48.7,51.6,55.4,50.8,3063,164331.2,01-FEB-2016,65,INE474C01015,
REMSONSIND,EQ,55,55,54.95,54.95,54.95,51.6,851,46802.45,02-FEB-2016,9,INE474C01015,
REMSONSIND,EQ,47,56.05,47,53.9,49,54.95,260,14193.25,03-FEB-2016,10,INE474C01015,
REMSONSIND,EQ,49.8,54.95,49.8,54.45,54.45,53.9,501,26569.95,04-FEB-2016,4,INE474C01015,
REMSONSIND,EQ,54.45,56.85,53,56.85,56.85,54.45,511,27829.4,05-FEB-2016,8,INE474C01015,
REMSONSIND,EQ,48.65,58,48.65,57.65,56,56.85,489,27412.35,08-FEB-2016,38,INE474C01015,
REMSONSIND,EQ,59.45,59.75,52.25,57.95,59.75,57.65,11971,655707.15,09-FEB-2016,30,INE474C01015,
REMSONSIND,EQ,53.1,53.1,53.1,53.1,53.1,57.95,1,53.1,10-FEB-2016,1,INE474C01015,
REMSONSIND,EQ,51,51,49.9,50.05,49.9,53.1,1448,73331.4,11-FEB-2016,14,INE474C01015,
REMSONSIND,EQ,50.05,50.05,50.05,50.05,50.05,50.05,500,25025,12-FEB-2016,3,INE474C01015,
REMSONSIND,EQ,49,53.5,44.05,48,47.5,50.05,1276,61124,19-FEB-2016,36,INE474C01015,
REMSONSIND,EQ,48.1,54,48.1,53.5,53.5,48,138,6660.4,22-FEB-2016,3,INE474C01015,
REMSONSIND,EQ,53,53,45.7,51.5,50,53.5,2062,101760,24-FEB-2016,7,INE474C01015,
REMSONSIND,EQ,54.7,54.7,46.05,49.8,49.8,51.5,535,24755,25-FEB-2016,7,INE474C01015,
REMSONSIND,EQ,52.9,53,46,50.5,50.5,49.8,4115,205650.6,26-FEB-2016,6,INE474C01015,
REMSONSIND,EQ,45.15,49.8,40.4,41.2,40.4,50.5,3756,157132.05,29-FEB-2016,42,INE474C01015,
REMSONSIND,EQ,45.5,46.5,40,41.9,40.25,41.2,2321,100980.6,01-MAR-2016,41,INE474C01015,
REMSONSIND,EQ,44.5,44.5,40.5,42.7,42.7,41.9,10682,445589.8,02-MAR-2016,12,INE474C01015,
REMSONSIND,EQ,42.8,42.8,41,42.75,42.75,42.7,96,4063.75,03-MAR-2016,4,INE474C01015,
REMSONSIND,EQ,41.05,42,41,42,42,42.75,1190,49014.5,04-MAR-2016,9,INE474C01015,
REMSONSIND,EQ,37.8,43.45,37.8,42.9,42.9,42,2010,81679,10-MAR-2016,3,INE474C01015,
REMSONSIND,EQ,42.95,42.95,35,40.05,40.95,42.9,1935,78390.75,11-MAR-2016,23,INE474C01015,
REMSONSIND,EQ,40,40,38.4,38.4,38.4,40.05,27,1076.8,14-MAR-2016,2,INE474C01015,
REMSONSIND,EQ,38.55,38.55,38.55,38.55,38.55,38.4,50,1927.5,15-MAR-2016,2,INE474C01015,
REMSONSIND,EQ,41.85,41.85,41.85,41.85,41.85,38.55,1,41.85,16-MAR-2016,1,INE474C01015,
