SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
TPLPLASTEH,EQ,195,230.4,195,230.4,230.4,192,8130,1815322.5,01-JAN-2016,234,INE413G01014,
TPLPLASTEH,EQ,240.6,273,237,267.15,260.15,230.4,42559,11255675,04-JAN-2016,1167,INE413G01014,
TPLPLASTEH,EQ,264,264,240.7,243.4,242.25,267.15,5447,1357400.45,05-JAN-2016,247,INE413G01014,
TPLPLASTEH,EQ,243.4,254.9,232.9,246.35,244,243.4,4523,1120197.85,06-JAN-2016,279,INE413G01014,
TPLPLASTEH,EQ,241.65,248,222,228.4,222.7,246.35,1529,354756.5,07-JAN-2016,55,INE413G01014,
TPLPLASTEH,EQ,235,235.05,229.05,235,235.05,228.4,667,154691.85,08-JAN-2016,24,INE413G01014,
TPLPLASTEH,EQ,235,238,222,227.1,225.5,235,411,93488.85,11-JAN-2016,35,INE413G01014,
TPLPLASTEH,EQ,223,234.7,211.65,217.95,217,227.1,1251,281985.2,12-JAN-2016,40,INE413G01014,
TPLPLASTEH,EQ,221,221,207.65,214,214,217.95,1247,268505.75,13-JAN-2016,66,INE413G01014,
TPLPLASTEH,EQ,206.1,222,206.1,211.05,211,214,1603,348508,14-JAN-2016,10,INE413G01014,
TPLPLASTEH,EQ,220,220,200.65,205,205,211.05,476,99303.45,15-JAN-2016,21,INE413G01014,
TPLPLASTEH,EQ,192.5,197.9,185,188.65,185,205,1320,253171.65,18-JAN-2016,49,INE413G01014,
TPLPLASTEH,EQ,190,190,185.1,187,187,188.65,62,11615.7,19-JAN-2016,5,INE413G01014,
TPLPLASTEH,EQ,203,203,170.2,185.95,182,187,54306,10060992.05,20-JAN-2016,330,INE413G01014,
TPLPLASTEH,EQ,187,193,171.65,176.15,183.5,185.95,1263,237084.1,21-JAN-2016,43,INE413G01014,
TPLPLASTEH,EQ,172,184.95,168.1,184.4,184.4,176.15,37171,6613048.8,22-JAN-2016,49,INE413G01014,
TPLPLASTEH,EQ,193,193,185.25,185.25,185.25,184.4,180,34257.5,25-JAN-2016,15,INE413G01014,
TPLPLASTEH,EQ,188.05,193,178,192.5,192.5,185.25,91,16986.25,27-JAN-2016,21,INE413G01014,
TPLPLASTEH,EQ,191,202,191,194.25,193.1,192.5,615,122963.45,28-JAN-2016,30,INE413G01014,
TPLPLASTEH,EQ,198,200,195.6,195.6,195.6,194.25,81,15961.6,29-JAN-2016,5,INE413G01014,
TPLPLASTEH,EQ,192.5,197.5,192.5,194.9,192.5,195.6,183,35585.5,01-FEB-2016,10,INE413G01014,
TPLPLASTEH,EQ,187.5,204.6,187,197.9,196.5,194.9,84477,16465724.75,02-FEB-2016,156,INE413G01014,
TPLPLASTEH,EQ,195,197.5,190.05,193.85,197.5,197.9,4002,775885.05,03-FEB-2016,4,INE413G01014,
TPLPLASTEH,EQ,195,195,195,195,195,193.85,2,390,04-FEB-2016,1,INE413G01014,
TPLPLASTEH,EQ,186.15,190,186.1,186.1,186.1,195,123,22952.75,05-FEB-2016,12,INE413G01014,
TPLPLASTEH,EQ,186.1,195,186.1,195,195,186.1,58,10910.4,08-FEB-2016,6,INE413G01014,
TPLPLASTEH,EQ,203,203.9,185.25,187.05,185.25,195,46942,8989186.85,10-FEB-2016,84,INE413G01014,
TPLPLASTEH,EQ,190,194.7,180,180,180,187.05,575,105981.05,11-FEB-2016,17,INE413G01014,
TPLPLASTEH,EQ,181,184,181,181.95,181,180,15,2740.7,12-FEB-2016,4,INE413G01014,
TPLPLASTEH,EQ,183,186,183,183.05,183,181.95,52,9521,15-FEB-2016,4,INE413G01014,
TPLPLASTEH,EQ,183,183,174,179.55,183,183.05,83,14766,16-FEB-2016,6,INE413G01014,
TPLPLASTEH,EQ,173.9,182.8,173.9,182.8,182.8,179.55,51,8877.8,17-FEB-2016,3,INE413G01014,
TPLPLASTEH,EQ,174,174,173.8,174,174,182.8,277,48197.8,18-FEB-2016,7,INE413G01014,
TPLPLASTEH,EQ,166.05,170,166,170,170,174,349,58930.05,22-FEB-2016,7,INE413G01014,
TPLPLASTEH,EQ,171,171,167,167,167,170,6,1017,23-FEB-2016,4,INE413G01014,
TPLPLASTEH,EQ,170,172.95,170,171.55,171.55,167,51,8686.3,24-FEB-2016,4,INE413G01014,
TPLPLASTEH,EQ,170.2,171.85,169,171.85,171.85,171.55,81,13796.95,25-FEB-2016,6,INE413G01014,
TPLPLASTEH,EQ,166,166,164,164,164,171.85,121,19921.8,26-FEB-2016,9,INE413G01014,
TPLPLASTEH,EQ,160.25,171,156,166.3,171,164,285,46036.95,29-FEB-2016,17,INE413G01014,
TPLPLASTEH,EQ,165,169,165,167.1,169,166.3,94,15710,01-MAR-2016,6,INE413G01014,
TPLPLASTEH,EQ,174,174,174,174,174,167.1,10,1740,02-MAR-2016,1,INE413G01014,
TPLPLASTEH,EQ,173,173,165.35,171.95,171.95,174,465,77177.95,03-MAR-2016,19,INE413G01014,
TPLPLASTEH,EQ,174,185,170,170,170,171.95,69,12125,08-MAR-2016,7,INE413G01014,
TPLPLASTEH,EQ,170.15,170.15,165.55,165.55,165.55,170,102,17340.7,09-MAR-2016,6,INE413G01014,
TPLPLASTEH,EQ,168,175,168,174.8,174.8,165.55,121,20630.5,14-MAR-2016,11,INE413G01014,
TPLPLASTEH,EQ,170,174.8,168.65,174,174,174.8,41,7090.1,15-MAR-2016,12,INE413G01014,
TPLPLASTEH,EQ,174,180,170.15,178.8,178.8,174,300,52847,16-MAR-2016,5,INE413G01014,
TPLPLASTEH,EQ,170.1,181,170,172,171,178.8,49,8397.15,17-MAR-2016,11,INE413G01014,
TPLPLASTEH,EQ,168,179.9,160,161.8,161,172,7997,1319834,18-MAR-2016,88,INE413G01014,
TPLPLASTEH,EQ,164,177.8,164,172.5,172.5,161.8,12004,2098593.1,21-MAR-2016,89,INE413G01014,
TPLPLASTEH,EQ,172.05,176.9,170,173.1,176.9,172.5,4832,832930.95,22-MAR-2016,36,INE413G01014,
TPLPLASTEH,EQ,172,177.9,167.9,173.05,173,173.1,14699,2538441.75,23-MAR-2016,42,INE413G01014,
TPLPLASTEH,EQ,168,177,166.65,168.8,168.8,173.05,5094,872412.05,28-MAR-2016,38,INE413G01014,
TPLPLASTEH,EQ,168,171,160,163,160,168.8,176,29055.2,29-MAR-2016,19,INE413G01014,
TPLPLASTEH,EQ,171.5,171.75,170.2,170.8,170.8,163,4004,684931.1,30-MAR-2016,15,INE413G01014,
TPLPLASTEH,EQ,165,166,158.55,164.9,165.8,170.8,1309,215791.25,31-MAR-2016,37,INE413G01014,
TPLPLASTEH,EQ,165.05,165.05,165,165,165,164.9,675,111375.05,04-APR-2016,3,INE413G01014,
TPLPLASTEH,EQ,165.05,171.4,165,170,170,165,680,115541.5,05-APR-2016,6,INE413G01014,
TPLPLASTEH,EQ,170,203,170,182.25,180,170,6699,1259974,06-APR-2016,96,INE413G01014,
TPLPLASTEH,EQ,181,218.7,181,218.7,218.7,182.25,14478,2922653.95,07-APR-2016,285,INE413G01014,
TPLPLASTEH,EQ,230.1,251,225.3,227.9,228,218.7,52231,12098982.45,08-APR-2016,1218,INE413G01014,
TPLPLASTEH,EQ,227.1,247,225,229.7,231.5,227.9,64667,14931366.45,11-APR-2016,718,INE413G01014,
TPLPLASTEH,EQ,233.9,275.6,233.9,275.6,275.6,229.7,61894,16773737.7,12-APR-2016,1043,INE413G01014,
TPLPLASTEH,EQ,291,303.15,289,303.15,303.15,275.6,69695,20814250.85,13-APR-2016,783,INE413G01014,
TPLPLASTEH,EQ,309,333.45,303,333.45,333.45,303.15,53652,17471180.75,18-APR-2016,996,INE413G01014,
TPLPLASTEH,EQ,342,348,310.05,318.4,315.1,333.45,54536,18206586.45,20-APR-2016,1588,INE413G01014,
TPLPLASTEH,EQ,317,328,305.1,313.9,315,318.4,25094,7993315.85,21-APR-2016,660,INE413G01014,
TPLPLASTEH,EQ,304.6,315.3,297.2,303.1,312.5,313.9,12723,3885058.8,22-APR-2016,634,INE413G01014,
TPLPLASTEH,EQ,309,333.4,305,333.4,333.4,303.1,7609,2509038.4,25-APR-2016,300,INE413G01014,
TPLPLASTEH,EQ,344,364,325,330.9,327,333.4,24335,8349201.35,26-APR-2016,1247,INE413G01014,
TPLPLASTEH,EQ,313,342.9,297.85,334.1,335,330.9,15798,5150782.25,27-APR-2016,715,INE413G01014,
TPLPLASTEH,EQ,320.1,334.85,320.1,328.25,320.25,334.1,4327,1411315.75,28-APR-2016,105,INE413G01014,
TPLPLASTEH,EQ,324.5,342,318,338.4,340,328.25,5588,1856216.65,29-APR-2016,300,INE413G01014,
TPLPLASTEH,EQ,331.6,343.95,318,319.4,321,338.4,6299,2054747.9,02-MAY-2016,209,INE413G01014,
TPLPLASTEH,EQ,322.1,338,316.2,317.25,316.2,319.4,33556,10675775.65,03-MAY-2016,264,INE413G01014,
TPLPLASTEH,EQ,321.1,348.95,321.1,348.95,348.95,317.25,20295,6977077.15,04-MAY-2016,790,INE413G01014,
TPLPLASTEH,EQ,363,383.8,360,383.8,383.8,348.95,100571,38033107.9,05-MAY-2016,2641,INE413G01014,
TPLPLASTEH,EQ,391,404,357.1,375.95,375,383.8,110648,41802917.8,06-MAY-2016,4780,INE413G01014,
TPLPLASTEH,EQ,376,394,376,386.4,390,375.95,11457,4425955.25,09-MAY-2016,721,INE413G01014,
TPLPLASTEH,EQ,372.05,386.85,371,378.15,380,386.4,3894,1474653.95,10-MAY-2016,214,INE413G01014,
TPLPLASTEH,EQ,378.8,384.9,363.05,369.5,370,378.15,4384,1631684.55,11-MAY-2016,274,INE413G01014,
TPLPLASTEH,EQ,371,443.4,362.05,426.9,421,369.5,143976,62535956.15,12-MAY-2016,4286,INE413G01014,
TPLPLASTEH,EQ,430,488.8,406,474,474,426.9,250736,117261459.8,13-MAY-2016,10086,INE413G01014,
TPLPLASTEH,EQ,474.6,515,466.3,504.8,502.2,474,277834,138565011.1,16-MAY-2016,9192,INE413G01014,
TPLPLASTEH,EQ,507,560,505.5,526.35,520.3,504.8,268034,142018891.95,17-MAY-2016,8333,INE413G01014,
TPLPLASTEH,EQ,526,532.95,421.1,480.2,421.1,526.35,336655,170291791.9,18-MAY-2016,8683,INE413G01014,
TPLPLASTEH,EQ,421.2,527,400.2,511,511,480.2,563446,273188517.95,19-MAY-2016,20676,INE413G01014,
TPLPLASTEH,EQ,517,537.65,482.65,509.55,503,511,237489,122348525.95,20-MAY-2016,6248,INE413G01014,
TPLPLASTEH,EQ,513.5,524.85,480,491.55,499,509.55,40684,20414044.4,23-MAY-2016,2163,INE413G01014,
TPLPLASTEH,EQ,490,504.95,472,481.25,477,491.55,71029,34398112.2,24-MAY-2016,1412,INE413G01014,
TPLPLASTEH,EQ,482.25,498.9,482.25,491,492,481.25,19343,9487862.95,25-MAY-2016,973,INE413G01014,
TPLPLASTEH,EQ,471.25,515,471.25,484.9,482.1,491,29352,14458969,26-MAY-2016,1828,INE413G01014,
TPLPLASTEH,EQ,480,497.35,459.75,466.55,469,484.9,18471,8834908.8,27-MAY-2016,819,INE413G01014,
TPLPLASTEH,EQ,475,484,421,426.95,421,466.55,47339,20495489.5,30-MAY-2016,2095,INE413G01014,
TPLPLASTEH,EQ,417.1,435,415,420.2,420,426.95,25431,10707913.75,31-MAY-2016,708,INE413G01014,
TPLPLASTEH,EQ,411.5,413.45,396.25,401.15,402,420.2,18035,7249513.35,01-JUN-2016,1338,INE413G01014,
