SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
GOODLUCK,EQ,103.5,104.6,102.65,103.65,103,103.1,39465,4087353.95,01-JAN-2016,354,INE127I01024,
GOODLUCK,EQ,103.45,103.6,101.3,102.65,102.65,103.65,65802,6746860.6,04-JAN-2016,890,INE127I01024,
GOODLUCK,EQ,102.65,117.2,101.4,113.95,113.75,102.65,748234,84127640.45,05-JAN-2016,8101,INE127I01024,
GOODLUCK,EQ,114.3,115,108.3,109.6,109.45,113.95,213448,23732288.6,06-JAN-2016,2946,INE127I01024,
GOODLUCK,EQ,107.5,107.5,102.9,104.15,103.65,109.6,156586,16348650.55,07-JAN-2016,2132,INE127I01024,
GOODLUCK,EQ,106.2,110.5,103.3,108.7,108.9,104.15,457439,48793173.45,08-JAN-2016,3455,INE127I01024,
GOODLUCK,EQ,107.25,108.8,104.1,107.05,106.95,108.7,64535,6895088.25,11-JAN-2016,1390,INE127I01024,
GOODLUCK,EQ,107.85,108.25,103.25,104.85,105,107.05,79018,8312593,12-JAN-2016,901,INE127I01024,
GOODLUCK,EQ,107.9,107.9,94.5,100.55,100.8,104.85,249687,24937842.35,13-JAN-2016,2195,INE127I01024,
GOODLUCK,EQ,96.3,101,95.85,97.4,97,100.55,113102,11073571,14-JAN-2016,1575,INE127I01024,
GOODLUCK,EQ,98.9,99.45,95.1,95.55,96,97.4,95460,9261510.3,15-JAN-2016,901,INE127I01024,
GOODLUCK,EQ,94.1,98.25,88,95,95,95.55,296279,28407551.4,18-JAN-2016,3281,INE127I01024,
GOODLUCK,EQ,95,99.7,95,98.45,98.5,95,56159,5464399.5,19-JAN-2016,880,INE127I01024,
GOODLUCK,EQ,97.9,97.95,94,95.3,95.15,98.45,53115,5051286.65,20-JAN-2016,1010,INE127I01024,
GOODLUCK,EQ,95.9,98.5,93.6,96.15,95.65,95.3,62959,6002970.8,21-JAN-2016,804,INE127I01024,
GOODLUCK,EQ,96.2,98.85,95.95,96.55,96.2,96.15,32993,3206113.3,22-JAN-2016,590,INE127I01024,
GOODLUCK,EQ,97.5,103.9,96.7,101.8,101.75,96.55,94018,9507854.35,25-JAN-2016,1397,INE127I01024,
GOODLUCK,EQ,101.75,104,98.2,98.95,99,101.8,35341,3557388.15,27-JAN-2016,712,INE127I01024,
GOODLUCK,EQ,98.8,102.2,98.5,99.6,98.95,98.95,26078,2613703.6,28-JAN-2016,548,INE127I01024,
GOODLUCK,EQ,99.25,100.75,97,97.75,97,99.6,25050,2474271.75,29-JAN-2016,483,INE127I01024,
GOODLUCK,EQ,97.65,102.4,97.5,98.85,99.2,97.75,47382,4742060,01-FEB-2016,925,INE127I01024,
GOODLUCK,EQ,98.5,101.5,97,97.3,97,98.85,24404,2415151.4,02-FEB-2016,571,INE127I01024,
GOODLUCK,EQ,96.85,97,94,95.95,96,97.3,34977,3335297.6,03-FEB-2016,633,INE127I01024,
GOODLUCK,EQ,96.4,98.2,95.5,96.65,96.15,95.95,52922,5136378.5,04-FEB-2016,823,INE127I01024,
GOODLUCK,EQ,96.85,99.5,95.45,97.05,97,96.65,52587,5116544.5,05-FEB-2016,933,INE127I01024,
GOODLUCK,EQ,97.35,100.65,97,98.45,98.7,97.05,73916,7317074.35,08-FEB-2016,1238,INE127I01024,
GOODLUCK,EQ,97.65,99.4,97.1,98.1,97.75,98.45,31330,3077776.25,09-FEB-2016,628,INE127I01024,
GOODLUCK,EQ,97.1,99.35,95.9,96.8,97.2,98.1,30194,2927646,10-FEB-2016,739,INE127I01024,
GOODLUCK,EQ,96.55,98,88.6,89.35,89,96.8,121562,11192117,11-FEB-2016,1445,INE127I01024,
GOODLUCK,EQ,89.9,91.9,83,87.45,88,89.35,75584,6474572.95,12-FEB-2016,1418,INE127I01024,
GOODLUCK,EQ,88.9,91.8,85.4,85.85,85.4,87.45,104776,9061181.25,15-FEB-2016,2106,INE127I01024,
GOODLUCK,EQ,86.2,86.8,81.1,82.55,81.5,85.85,46986,3960982.1,16-FEB-2016,789,INE127I01024,
GOODLUCK,EQ,82.6,84,75,80.65,80.6,82.55,79023,6241725.75,17-FEB-2016,1490,INE127I01024,
GOODLUCK,EQ,80.75,83.45,78,79.75,80.25,80.65,53036,4281076,18-FEB-2016,927,INE127I01024,
GOODLUCK,EQ,78.45,82.75,78.35,81.8,82.2,79.75,54727,4454768.65,19-FEB-2016,858,INE127I01024,
