SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
IMAGICAA,EQ,4.05,4.1,3.9,4,4,4.05,91942,365507.6,22-APR-2020,368,INE172N01012,
IMAGICAA,BE,4.2,4.2,3.8,3.8,3.8,4,89256,344312.9,23-APR-2020,243,INE172N01012,
IMAGICAA,BE,3.8,3.95,3.65,3.8,3.9,3.8,76947,294060.55,24-APR-2020,194,INE172N01012,
IMAGICAA,BE,3.65,3.95,3.65,3.85,3.95,3.8,79280,303629,27-APR-2020,200,INE172N01012,
IMAGICAA,BE,3.95,4,3.75,3.9,3.95,3.85,93601,364818.55,28-APR-2020,156,INE172N01012,
IMAGICAA,BE,4,4,3.8,3.9,3.9,3.9,55419,219697.45,29-APR-2020,140,INE172N01012,
IMAGICAA,BE,3.9,4,3.8,3.9,3.9,3.9,61928,240891.2,30-APR-2020,185,INE172N01012,
IMAGICAA,BE,3.9,3.9,3.75,3.8,3.75,3.9,50448,192714.5,04-MAY-2020,173,INE172N01012,
IMAGICAA,BE,3.9,3.9,3.7,3.8,3.8,3.8,69503,265053.35,05-MAY-2020,129,INE172N01012,
IMAGICAA,BE,3.7,3.8,3.65,3.65,3.7,3.8,64026,236014.5,06-MAY-2020,136,INE172N01012,
IMAGICAA,BE,3.75,3.75,3.5,3.7,3.75,3.65,43227,157047.15,07-MAY-2020,132,INE172N01012,
IMAGICAA,BE,3.85,3.85,3.55,3.75,3.8,3.7,41516,153674.15,08-MAY-2020,77,INE172N01012,
IMAGICAA,BE,3.75,3.85,3.6,3.6,3.6,3.75,68669,250701.45,11-MAY-2020,119,INE172N01012,
IMAGICAA,BE,3.55,3.65,3.45,3.6,3.55,3.6,60475,216194.7,12-MAY-2020,91,INE172N01012,
IMAGICAA,BE,3.6,3.6,3.45,3.5,3.5,3.6,22259,78332.45,13-MAY-2020,91,INE172N01012,
IMAGICAA,BE,3.35,3.5,3.35,3.4,3.4,3.5,93106,315466.75,14-MAY-2020,154,INE172N01012,
IMAGICAA,BE,3.4,3.45,3.3,3.4,3.4,3.4,24785,84343.05,15-MAY-2020,84,INE172N01012,
IMAGICAA,BE,3.5,3.5,3.25,3.35,3.4,3.4,37153,123192.7,18-MAY-2020,90,INE172N01012,
IMAGICAA,BE,3.35,3.4,3.2,3.3,3.25,3.35,15701,51667.9,19-MAY-2020,72,INE172N01012,
IMAGICAA,BE,3.15,3.35,3.15,3.25,3.35,3.3,17004,55064.7,20-MAY-2020,57,INE172N01012,
IMAGICAA,BE,3.35,3.4,3.2,3.4,3.4,3.25,18942,63148.05,21-MAY-2020,76,INE172N01012,
IMAGICAA,BE,3.4,3.45,3.25,3.3,3.3,3.4,14865,49927.1,22-MAY-2020,60,INE172N01012,
IMAGICAA,BE,3.4,3.45,3.2,3.3,3.3,3.3,19137,63741.05,26-MAY-2020,72,INE172N01012,
IMAGICAA,EQ,3.35,3.45,3.15,3.4,3.4,3.3,98756,337638.55,27-MAY-2020,152,INE172N01012,
IMAGICAA,EQ,3.5,3.55,3.4,3.5,3.5,3.4,34739,121667.95,28-MAY-2020,111,INE172N01012,
IMAGICAA,EQ,3.5,3.65,3.35,3.65,3.65,3.5,79539,283372.4,29-MAY-2020,137,INE172N01012,
IMAGICAA,EQ,3.8,3.8,3.65,3.8,3.75,3.65,76311,287292.55,01-JUN-2020,204,INE172N01012,
IMAGICAA,EQ,3.85,3.95,3.65,3.65,3.65,3.8,151238,565962,02-JUN-2020,274,INE172N01012,
IMAGICAA,EQ,3.65,3.8,3.65,3.75,3.75,3.65,148836,557971.5,03-JUN-2020,255,INE172N01012,
IMAGICAA,EQ,3.75,3.85,3.6,3.65,3.65,3.75,72311,268198.4,04-JUN-2020,154,INE172N01012,
