SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SALASAR,BE,250,262.5,250,262.5,262.5,108,729832,185638629,25-JUL-2017,4688,INE170V01019,
SALASAR,BE,289.35,289.35,261.85,261.85,261.85,275.6,386543,104701312.2,27-JUL-2017,3753,INE170V01019,
SALASAR,BE,248.8,248.8,248.8,248.8,248.8,261.85,15169,3774047.2,28-JUL-2017,265,INE170V01019,
SALASAR,BE,236.4,249.8,236.4,244.7,244,248.8,563393,134247558.5,31-JUL-2017,5585,INE170V01019,
SALASAR,BE,241.1,256.7,232.5,254.35,252.25,244.7,254071,61675837.05,01-AUG-2017,2732,INE170V01019,
SALASAR,BE,253.9,254.8,243.6,251.05,247.05,254.35,71132,17675060.2,02-AUG-2017,827,INE170V01019,
SALASAR,BE,250,250,241.25,244.5,245,251.05,76115,18678160.55,03-AUG-2017,857,INE170V01019,
SALASAR,BE,244.5,254.95,241.15,253.35,252.7,244.5,114065,28492258.95,04-AUG-2017,1396,INE170V01019,
SALASAR,BE,254.1,262,247.9,249.25,251.9,253.35,83418,21217015.1,07-AUG-2017,882,INE170V01019,
SALASAR,EQ,251.8,253.75,221,229.4,229.9,249.25,384836,89290395.2,08-AUG-2017,7587,INE170V01019,
SALASAR,EQ,220.15,240,218.7,224.25,222.9,229.4,259321,59945295.3,09-AUG-2017,4580,INE170V01019,
SALASAR,EQ,220.2,254.9,217,228.9,228.5,224.25,823821,195591653.95,10-AUG-2017,11540,INE170V01019,
SALASAR,EQ,222.9,228.6,214,216.75,217.8,228.9,228037,50659559.4,11-AUG-2017,4204,INE170V01019,
SALASAR,EQ,219.95,233.1,219.95,229,225,216.75,231270,52525143.65,14-AUG-2017,3330,INE170V01019,
SALASAR,EQ,228.95,229.9,220.5,221.75,221,229,118349,26444109.2,16-AUG-2017,2103,INE170V01019,
SALASAR,EQ,221.95,227.8,212,215.4,215.8,221.75,114054,25171230.05,17-AUG-2017,2480,INE170V01019,
SALASAR,EQ,214.8,216.15,206.2,208.6,209.5,215.4,136536,28650860,18-AUG-2017,3059,INE170V01019,
SALASAR,EQ,209.1,216.9,201.2,204.95,203.1,208.6,158924,33390898.45,21-AUG-2017,2895,INE170V01019,
SALASAR,EQ,206,207.5,198,201.3,202.5,204.95,93626,18868464.85,22-AUG-2017,2161,INE170V01019,
SALASAR,EQ,202.15,205.55,201,202.9,203.9,201.3,23988,4873925.3,23-AUG-2017,643,INE170V01019,
SALASAR,EQ,202.95,206,199.4,201.3,200,202.9,35263,7144583.65,24-AUG-2017,781,INE170V01019,
SALASAR,EQ,201.45,217.35,201.45,212.55,214,201.3,127862,27033861.9,28-AUG-2017,2677,INE170V01019,
SALASAR,EQ,214.55,221,210.45,215.95,215.1,212.55,88569,19162098.8,29-AUG-2017,1630,INE170V01019,
SALASAR,EQ,216.85,223,216.85,220.1,220.1,215.95,70920,15620440.55,30-AUG-2017,1124,INE170V01019,
SALASAR,EQ,221.8,221.8,216,218,217.1,220.1,43121,9387657.55,31-AUG-2017,713,INE170V01019,
