SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
ICICILOVOL,EQ,82.45,82.45,82.27,82.27,82.27,82.45,960,79122.63,10-APR-2018,15,INF109KB10T8,
ICICILOVOL,EQ,82.28,82.33,82.28,82.33,82.33,82.27,153,12589.44,11-APR-2018,8,INF109KB10T8,
ICICILOVOL,EQ,82.39,83.11,82.39,83.11,83.11,82.33,200,16560.97,12-APR-2018,6,INF109KB10T8,
ICICILOVOL,EQ,82.79,83.26,82.79,83.26,83.26,83.11,115,9570.2,13-APR-2018,5,INF109KB10T8,
ICICILOVOL,EQ,83.44,83.44,83.17,83.17,83.17,83.26,600,50025.93,16-APR-2018,24,INF109KB10T8,
ICICILOVOL,EQ,84.18,84.18,84.1,84.1,84.1,83.17,181,15228.58,17-APR-2018,8,INF109KB10T8,
ICICILOVOL,EQ,84.4,84.4,84.39,84.39,84.39,84.1,463,39075.57,18-APR-2018,12,INF109KB10T8,
ICICILOVOL,EQ,84.57,84.57,84.57,84.57,84.57,84.39,57,4820.49,19-APR-2018,4,INF109KB10T8,
ICICILOVOL,EQ,84.82,85.23,84.82,85.23,85.23,84.57,593,50418.39,20-APR-2018,19,INF109KB10T8,
ICICILOVOL,EQ,85,85.55,85,85.54,85.26,85.23,3742,319551.45,23-APR-2018,26,INF109KB10T8,
ICICILOVOL,EQ,85.66,85.66,85.46,85.5,85.5,85.54,1793,153332.03,24-APR-2018,15,INF109KB10T8,
ICICILOVOL,EQ,85.31,85.31,85.31,85.31,85.31,85.5,183,15611.73,25-APR-2018,14,INF109KB10T8,
ICICILOVOL,EQ,85.63,85.63,85.63,85.63,85.63,85.31,194,16612.22,26-APR-2018,13,INF109KB10T8,
ICICILOVOL,EQ,85.94,85.94,85.35,85.35,85.35,85.63,182,15632.23,27-APR-2018,12,INF109KB10T8,
ICICILOVOL,EQ,86.17,86.17,86.17,86.17,86.17,85.35,302,26023.34,30-APR-2018,13,INF109KB10T8,
ICICILOVOL,EQ,86.31,86.36,86,86,86,86.17,147,12690.27,02-MAY-2018,3,INF109KB10T8,
ICICILOVOL,EQ,85,85,84.67,84.89,84.89,86,150,12746.21,04-MAY-2018,6,INF109KB10T8,
ICICILOVOL,EQ,85.13,85.19,85.08,85.08,85.08,84.89,140,11926.26,07-MAY-2018,13,INF109KB10T8,
ICICILOVOL,EQ,85.33,85.33,85,85,85,85.08,10075,857899.75,08-MAY-2018,5,INF109KB10T8,
ICICILOVOL,EQ,85.23,85.23,85.23,85.23,85.23,85,331,28211.13,09-MAY-2018,5,INF109KB10T8,
ICICILOVOL,EQ,85.31,85.31,85.31,85.31,85.31,85.23,820,69954.2,10-MAY-2018,7,INF109KB10T8,
ICICILOVOL,EQ,88,90.4,84.88,85.08,85.08,85.31,694,60147.28,11-MAY-2018,20,INF109KB10T8,
ICICILOVOL,EQ,85.59,85.59,85.08,85.08,85.08,85.08,193,16517.25,14-MAY-2018,16,INF109KB10T8,
ICICILOVOL,EQ,86.1,86.1,85.41,85.45,85.45,85.08,49,4204.81,15-MAY-2018,4,INF109KB10T8,
ICICILOVOL,EQ,85.07,86,85.07,85.44,85.44,85.45,312,26825.6,16-MAY-2018,19,INF109KB10T8,
ICICILOVOL,EQ,85.43,85.43,85.43,85.43,85.43,85.44,155,13241.65,17-MAY-2018,10,INF109KB10T8,
ICICILOVOL,EQ,85.07,85.07,84.56,84.56,84.56,85.43,232,19704.95,18-MAY-2018,18,INF109KB10T8,
ICICILOVOL,EQ,84.75,84.75,84.56,84.56,84.56,84.56,413,34999.96,21-MAY-2018,28,INF109KB10T8,
ICICILOVOL,EQ,84,84.1,83.92,84.03,84.03,84.56,2002,168116.23,22-MAY-2018,11,INF109KB10T8,
ICICILOVOL,EQ,84.36,84.36,83.85,83.85,83.85,84.03,281,23669.29,23-MAY-2018,19,INF109KB10T8,
ICICILOVOL,EQ,87,89.4,84,84.06,84.06,83.85,264,22891.92,24-MAY-2018,13,INF109KB10T8,
ICICILOVOL,EQ,84.55,84.55,84.48,84.48,84.48,84.06,1945,164337.68,25-MAY-2018,23,INF109KB10T8,
ICICILOVOL,EQ,84.91,85.01,84.91,85.01,85.01,84.48,501,42549.91,28-MAY-2018,27,INF109KB10T8,
ICICILOVOL,EQ,85.18,85.18,85.12,85.12,85.12,85.01,95,8091.5,29-MAY-2018,5,INF109KB10T8,
ICICILOVOL,EQ,85,85,84.77,84.77,84.77,85.12,2444,207264.98,30-MAY-2018,12,INF109KB10T8,
ICICILOVOL,EQ,85.04,85.04,85.04,85.04,85.04,84.77,169,14371.76,31-MAY-2018,10,INF109KB10T8,
ICICILOVOL,EQ,85.91,85.91,85.86,85.86,85.86,85.04,131,11250.76,01-JUN-2018,4,INF109KB10T8,
ICICILOVOL,EQ,84.85,85.24,84.85,85.24,85.24,85.86,1816,154093.84,04-JUN-2018,2,INF109KB10T8,
ICICILOVOL,EQ,84.71,84.71,84.14,84.36,84.36,85.24,635,53605.44,05-JUN-2018,8,INF109KB10T8,
ICICILOVOL,EQ,84.71,84.71,84.71,84.71,84.71,84.36,60,5082.6,06-JUN-2018,6,INF109KB10T8,
ICICILOVOL,EQ,85.64,100.5,85.3,85.3,85.3,84.71,28714,2479016.1,07-JUN-2018,31,INF109KB10T8,
ICICILOVOL,EQ,85.59,85.59,85.29,85.29,85.29,85.3,29,2481.51,08-JUN-2018,2,INF109KB10T8,
ICICILOVOL,EQ,85.29,85.85,85.29,85.85,85.85,85.29,1839,157821.99,11-JUN-2018,26,INF109KB10T8,
ICICILOVOL,EQ,85.76,85.76,85.76,85.76,85.76,85.85,67,5745.92,12-JUN-2018,5,INF109KB10T8,
ICICILOVOL,EQ,86.13,86.13,86.04,86.04,86.04,85.76,125,10758.87,13-JUN-2018,3,INF109KB10T8,
ICICILOVOL,EQ,85.94,86.04,85.55,86.04,86.04,86.04,623,53349.12,14-JUN-2018,8,INF109KB10T8,
ICICILOVOL,EQ,86.08,86.08,86.08,86.08,86.08,86.04,27,2324.16,15-JUN-2018,1,INF109KB10T8,
ICICILOVOL,EQ,86.09,86.09,86.04,86.04,86.04,86.08,520,44766.25,18-JUN-2018,31,INF109KB10T8,
ICICILOVOL,EQ,85.45,85.45,84.67,84.99,84.67,86.04,191,16292.72,19-JUN-2018,9,INF109KB10T8,
ICICILOVOL,EQ,85.15,85.21,85.15,85.21,85.21,84.99,528,44959.5,20-JUN-2018,17,INF109KB10T8,
ICICILOVOL,EQ,85.21,85.21,83,83,83,85.21,84,7155.22,21-JUN-2018,8,INF109KB10T8,
ICICILOVOL,EQ,85,85.35,84.59,85.07,85.35,83,58,4908.07,22-JUN-2018,7,INF109KB10T8,
ICICILOVOL,EQ,85.05,85.39,84.76,84.79,84.76,85.07,1065,90783.16,25-JUN-2018,49,INF109KB10T8,
ICICILOVOL,EQ,85.37,85.37,85.08,85.11,85.08,84.79,278,23717.07,26-JUN-2018,16,INF109KB10T8,
ICICILOVOL,EQ,85.58,85.58,84.65,84.65,84.65,85.11,145,12407.59,27-JUN-2018,12,INF109KB10T8,
ICICILOVOL,EQ,87,89.4,87,89,89,84.65,190,16939.6,28-JUN-2018,13,INF109KB10T8,
ICICILOVOL,EQ,87,89,84.07,84.3,84.3,89,1384,117278.73,29-JUN-2018,22,INF109KB10T8,
ICICILOVOL,EQ,85,85,84.51,84.51,84.51,84.3,355,30114.1,02-JUL-2018,21,INF109KB10T8,
ICICILOVOL,EQ,87,89,85.15,85.92,85.15,84.51,2582,222140,03-JUL-2018,13,INF109KB10T8,
ICICILOVOL,EQ,85.24,85.24,85.24,85.24,85.24,85.92,16,1363.84,04-JUL-2018,1,INF109KB10T8,
ICICILOVOL,EQ,85.82,86.13,85.82,86.13,86.13,85.24,121929,10501656.52,05-JUL-2018,15,INF109KB10T8,
ICICILOVOL,EQ,87,87,86.2,86.39,86.39,86.13,113,9749.64,06-JUL-2018,12,INF109KB10T8,
ICICILOVOL,EQ,87,89.9,87,87,87,86.39,2024,177004.6,09-JUL-2018,21,INF109KB10T8,
ICICILOVOL,EQ,87,87.34,86.1,86.89,86.89,87,224,19474.37,10-JUL-2018,13,INF109KB10T8,
ICICILOVOL,EQ,87,87.42,87,87.18,87.01,86.89,196,17125.72,11-JUL-2018,14,INF109KB10T8,
ICICILOVOL,EQ,87.96,88.6,83,83.96,83,87.18,217,19039.45,12-JUL-2018,11,INF109KB10T8,
ICICILOVOL,EQ,89.25,89.25,87.64,87.68,87.68,83.96,1172,102835.46,13-JUL-2018,6,INF109KB10T8,
ICICILOVOL,EQ,87.77,87.77,87.5,87.5,87.5,87.68,829,72626.33,16-JUL-2018,21,INF109KB10T8,
ICICILOVOL,EQ,86,87.38,83.5,87.28,87.28,87.5,425,36890.35,17-JUL-2018,22,INF109KB10T8,
ICICILOVOL,EQ,87.82,87.82,86.98,87.22,87.22,87.28,225,19755.3,18-JUL-2018,18,INF109KB10T8,
ICICILOVOL,EQ,87.02,87.17,86.73,86.81,86.82,87.22,247,21487.7,19-JUL-2018,9,INF109KB10T8,
ICICILOVOL,EQ,86.82,87.03,86.39,86.63,86.44,86.81,591,51272.4,20-JUL-2018,21,INF109KB10T8,
ICICILOVOL,EQ,86.44,86.87,86.44,86.62,86.62,86.63,436,37832.96,23-JUL-2018,25,INF109KB10T8,
ICICILOVOL,EQ,87.65,87.65,87.55,87.55,87.55,86.62,132,11569.7,24-JUL-2018,9,INF109KB10T8,
ICICILOVOL,EQ,87.64,87.64,87.64,87.64,87.64,87.55,284,24889.76,25-JUL-2018,20,INF109KB10T8,
ICICILOVOL,EQ,87.62,87.62,87.52,87.52,87.52,87.64,434,38002.08,26-JUL-2018,14,INF109KB10T8,
ICICILOVOL,EQ,87.91,87.91,87.52,87.72,87.72,87.52,453,39754.67,27-JUL-2018,15,INF109KB10T8,
ICICILOVOL,EQ,87.72,88.02,87.72,87.92,87.92,87.72,511,44906.52,30-JUL-2018,16,INF109KB10T8,
ICICILOVOL,EQ,88.24,88.24,88.24,88.24,88.24,87.92,147,12971.28,31-JUL-2018,8,INF109KB10T8,
ICICILOVOL,EQ,89.35,89.35,88.6,88.6,88.6,88.24,1900,169210.73,01-AUG-2018,7,INF109KB10T8,
ICICILOVOL,EQ,90,105,88.5,88.5,88.5,88.6,932,85395.84,02-AUG-2018,49,INF109KB10T8,
ICICILOVOL,EQ,88.7,89.04,88.7,89.04,89.04,88.5,1627,144324.08,03-AUG-2018,3,INF109KB10T8,
ICICILOVOL,EQ,89.07,89.07,88.68,88.68,88.68,89.04,207,18431.25,06-AUG-2018,11,INF109KB10T8,
ICICILOVOL,EQ,88.87,89.36,88.87,88.9,88.87,88.68,10565,942488.6,07-AUG-2018,10,INF109KB10T8,
ICICILOVOL,EQ,89.25,89.25,88.96,88.96,88.96,88.9,155,13808.81,08-AUG-2018,4,INF109KB10T8,
ICICILOVOL,EQ,89.47,89.52,89.18,89.52,89.52,88.96,454,40621.77,09-AUG-2018,7,INF109KB10T8,
ICICILOVOL,EQ,89.5,89.5,89.13,89.13,89.13,89.52,881,78823.33,10-AUG-2018,12,INF109KB10T8,
ICICILOVOL,EQ,89.23,89.35,89.15,89.15,89.15,89.13,19283,1719115.61,13-AUG-2018,21,INF109KB10T8,
ICICILOVOL,EQ,89.75,89.96,89.69,89.96,89.96,89.15,2418,217484.25,14-AUG-2018,10,INF109KB10T8,
ICICILOVOL,EQ,89.89,89.89,89.47,89.69,89.69,89.96,277,24881.87,16-AUG-2018,18,INF109KB10T8,
ICICILOVOL,EQ,90,94.5,89.76,90.06,90.06,89.69,587,53493.51,17-AUG-2018,23,INF109KB10T8,
ICICILOVOL,EQ,90,96,90,90.27,90.27,90.06,1082,100446.12,20-AUG-2018,50,INF109KB10T8,
ICICILOVOL,EQ,91,91.08,91,91.08,91.08,90.27,78,7101.2,21-AUG-2018,11,INF109KB10T8,
ICICILOVOL,EQ,91,91.61,91,91.61,91.61,91.08,187,17079.73,23-AUG-2018,19,INF109KB10T8,
ICICILOVOL,EQ,91,91.67,91,91.27,91.27,91.61,154,14107.03,24-AUG-2018,14,INF109KB10T8,
ICICILOVOL,EQ,91,92.15,91,91.91,92.15,91.27,642,59028.87,27-AUG-2018,48,INF109KB10T8,
ICICILOVOL,EQ,92,92.48,92,92.32,92.32,91.91,377,34835.26,28-AUG-2018,14,INF109KB10T8,
ICICILOVOL,EQ,91.73,92.17,91.73,92.01,92.01,92.32,734,67393.36,29-AUG-2018,7,INF109KB10T8,
ICICILOVOL,EQ,92.05,92.05,91.63,91.99,91.99,92.01,205,18855.91,30-AUG-2018,9,INF109KB10T8,
ICICILOVOL,EQ,92.98,92.98,92.54,92.54,92.54,91.99,174,16171.6,31-AUG-2018,10,INF109KB10T8,
ICICILOVOL,EQ,92.8,95,92,92.05,92,92.54,1427,132236.75,03-SEP-2018,18,INF109KB10T8,
ICICILOVOL,EQ,91.65,91.65,90.4,90.79,90.79,92.05,30514,2779846.7,04-SEP-2018,20,INF109KB10T8,
ICICILOVOL,EQ,90.45,90.57,89.96,90.16,90.16,90.79,670,60579.2,05-SEP-2018,9,INF109KB10T8,
ICICILOVOL,EQ,90.88,90.88,90.67,90.7,90.7,90.16,15072,1366741.2,06-SEP-2018,11,INF109KB10T8,
ICICILOVOL,EQ,91.44,91.8,91.16,91.8,91.8,90.7,47,4295.32,07-SEP-2018,5,INF109KB10T8,
ICICILOVOL,EQ,91.11,91.11,90.83,90.83,90.83,91.8,502,45709.22,10-SEP-2018,13,INF109KB10T8,
ICICILOVOL,EQ,92,96.5,89.79,89.79,89.79,90.83,1610,146117.66,11-SEP-2018,25,INF109KB10T8,
ICICILOVOL,EQ,89.79,90.14,89.4,90.14,90.14,89.79,226,20276.76,12-SEP-2018,11,INF109KB10T8,
ICICILOVOL,EQ,91.04,91.32,91.04,91.32,91.32,90.14,217,19757.08,14-SEP-2018,8,INF109KB10T8,
ICICILOVOL,EQ,90.99,91.03,90.59,90.83,90.83,91.32,873,79350.27,17-SEP-2018,27,INF109KB10T8,
ICICILOVOL,EQ,91.02,91.02,90.26,90.26,90.26,90.83,15267,1382904.22,18-SEP-2018,15,INF109KB10T8,
ICICILOVOL,EQ,90.54,90.62,89.75,89.88,89.88,90.26,1664,150054.92,19-SEP-2018,15,INF109KB10T8,
ICICILOVOL,EQ,90.47,90.47,87.49,89.19,89.19,89.88,1496,133102.46,21-SEP-2018,31,INF109KB10T8,
ICICILOVOL,EQ,89.19,89.19,87.6,87.6,87.6,89.19,8429,744809.83,24-SEP-2018,36,INF109KB10T8,
ICICILOVOL,EQ,87.55,88.83,87.5,88.83,88.83,87.6,564,49625.86,25-SEP-2018,29,INF109KB10T8,
ICICILOVOL,EQ,88.7,88.7,88,88,88,88.83,292,25813.08,26-SEP-2018,13,INF109KB10T8,
ICICILOVOL,EQ,88.43,88.43,87.95,88.03,88.03,88,638,56172.82,27-SEP-2018,13,INF109KB10T8,
ICICILOVOL,EQ,88.05,88.14,87,87.28,87.42,88.03,1228,107252.66,28-SEP-2018,27,INF109KB10T8,
ICICILOVOL,EQ,87.12,88.05,86.9,88.05,88.05,87.28,372,32421.73,01-OCT-2018,28,INF109KB10T8,
ICICILOVOL,EQ,87.2,87.28,86.5,86.5,86.5,88.05,497,43268.27,03-OCT-2018,15,INF109KB10T8,
ICICILOVOL,EQ,86,86,84.59,84.95,84.95,86.5,3313,281823.1,04-OCT-2018,45,INF109KB10T8,
ICICILOVOL,EQ,85,85,83.61,83.7,83.61,84.95,2479,208521.53,05-OCT-2018,37,INF109KB10T8,
ICICILOVOL,EQ,83.56,83.89,82.75,82.93,82.93,83.7,1177,98067.76,08-OCT-2018,23,INF109KB10T8,
ICICILOVOL,EQ,83.63,83.63,83.04,83.44,83.44,82.93,1216,101398.56,09-OCT-2018,11,INF109KB10T8,
ICICILOVOL,EQ,84,84.2,83.64,84.2,84.2,83.44,272,22868.64,10-OCT-2018,10,INF109KB10T8,
ICICILOVOL,EQ,82.75,82.95,81.95,82.79,82.79,84.2,1427,117473.49,11-OCT-2018,17,INF109KB10T8,
