INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,29-May-2024,0,XX,48660,48798.9,48265.15,48379.85,48379.85,121624,885619.83,1746300,-113205,26-APR-2024,
FUTIDX,BANKNIFTY,26-Jun-2024,0,XX,48903.9,49000,48510,48616.6,48616.6,6332,46313.84,216570,17340,26-APR-2024,
FUTIDX,BANKNIFTY,31-Jul-2024,0,XX,49100.05,49227.1,48790,48913.15,48913.15,881,6478.3,8130,2085,26-APR-2024,
FUTIDX,FINNIFTY,30-Apr-2024,0,XX,21509.15,21538.25,21314.1,21362.9,21362.9,1102,9441.85,31880,-3200,26-APR-2024,
FUTIDX,FINNIFTY,28-May-2024,0,XX,21518.15,21580.7,21380,21422.6,21422.6,804,6908.76,24280,6520,26-APR-2024,
FUTIDX,FINNIFTY,25-Jun-2024,0,XX,21700,21700,21500,21505,21505,12,103.71,1520,80,26-APR-2024,
FUTIDX,MIDCPNIFTY,29-Apr-2024,0,XX,10905.85,11004.2,10901,10980.25,10980.25,9508,78264.06,763050,-149550,26-APR-2024,
FUTIDX,MIDCPNIFTY,27-May-2024,0,XX,10979.95,11024.1,10917,11008.4,11008.4,13234,109152.86,1525500,575100,26-APR-2024,
FUTIDX,MIDCPNIFTY,24-Jun-2024,0,XX,10995,11039.85,10987.6,11032.45,11032.45,133,1099.32,12225,2550,26-APR-2024,
FUTIDX,NIFTY,30-May-2024,0,XX,22684,22705,22530,22556,22556,249718,1411238.58,10399450,-1048600,26-APR-2024,
FUTIDX,NIFTY,27-Jun-2024,0,XX,22791.35,22797.9,22642.85,22667.05,22667.05,17595,99916.86,1006550,38050,26-APR-2024,
FUTIDX,NIFTY,25-Jul-2024,0,XX,22985,22985,22772.6,22795.65,22795.65,2327,13284.38,29650,29650,26-APR-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,64200.15,64799,64200.15,64613.8,64613.8,679,4383.4,5250,1210,26-APR-2024,
FUTIDX,NIFTYNXT50,28-Jun-2024,0,XX,0,0,0,63631.85,64948.9,0,0,0,0,26-APR-2024,
FUTIDX,NIFTYNXT50,26-Jul-2024,0,XX,0,0,0,65347.3,65314.15,0,0,30,0,26-APR-2024,
FUTSTK,AARTIIND,30-May-2024,0,XX,759.95,765.65,752,756,756,2780,21101.89,12579000,38000,26-APR-2024,
FUTSTK,AARTIIND,27-Jun-2024,0,XX,765.2,770.95,757.5,762.45,762.45,316,2418.24,675000,131000,26-APR-2024,
FUTSTK,AARTIIND,25-Jul-2024,0,XX,768.95,768.95,766.05,766.05,766.05,2,15.35,0,0,26-APR-2024,
FUTSTK,ABB,30-May-2024,0,XX,6464.3,6508.95,6407,6431.9,6431.9,1895,15276.81,963875,42625,26-APR-2024,
FUTSTK,ABB,27-Jun-2024,0,XX,6526.9,6535,6463.3,6472.05,6472.05,38,308.49,15125,1125,26-APR-2024,
FUTSTK,ABB,25-Jul-2024,0,XX,0,0,0,6550,6527,0,0,0,0,26-APR-2024,
FUTSTK,ABBOTINDIA,30-May-2024,0,XX,26039.9,26241.6,25777.4,26075.1,26075.1,1149,5992.73,206380,660,26-APR-2024,
FUTSTK,ABBOTINDIA,27-Jun-2024,0,XX,26164.95,26386.1,26033.35,26258.3,26258.3,72,377.93,1220,300,26-APR-2024,
FUTSTK,ABBOTINDIA,25-Jul-2024,0,XX,0,0,0,26146.65,26364.95,0,0,0,0,26-APR-2024,
FUTSTK,ABCAPITAL,30-May-2024,0,XX,233.6,238.5,232.5,233.5,233.5,6292,79919.26,56457000,2500200,26-APR-2024,
FUTSTK,ABCAPITAL,27-Jun-2024,0,XX,234.85,239.9,234.2,235.05,235.05,297,3798.27,1404000,172800,26-APR-2024,
FUTSTK,ABCAPITAL,25-Jul-2024,0,XX,239.2,240,236,236,236,13,167.09,37800,37800,26-APR-2024,
FUTSTK,ABFRL,30-May-2024,0,XX,270,279.75,269.4,271.5,271.5,9291,66194.74,45440200,3764800,26-APR-2024,
FUTSTK,ABFRL,27-Jun-2024,0,XX,272,281,271.05,273.2,273.2,424,3033.43,696800,130000,26-APR-2024,
FUTSTK,ABFRL,25-Jul-2024,0,XX,279,281,273.35,274.65,274.65,33,236.94,59800,59800,26-APR-2024,
FUTSTK,ACC,30-May-2024,0,XX,2615.55,2620,2532.25,2551,2551,8118,62364.5,6122400,30600,26-APR-2024,
FUTSTK,ACC,27-Jun-2024,0,XX,2625.35,2629.7,2550,2563.9,2563.9,369,2849.87,99600,26400,26-APR-2024,
FUTSTK,ACC,25-Jul-2024,0,XX,2635,2639.7,2574.85,2578,2578,21,163.12,4800,4800,26-APR-2024,
FUTSTK,ADANIENT,30-May-2024,0,XX,3141.4,3148.7,3085.5,3103,3103,5597,52225.27,14101200,-100200,26-APR-2024,
FUTSTK,ADANIENT,27-Jun-2024,0,XX,3167,3167,3111.05,3131.3,3131.3,284,2670.93,244500,50100,26-APR-2024,
FUTSTK,ADANIENT,25-Jul-2024,0,XX,3145.85,3145.85,3144.85,3144.85,3136.4,3,28.3,600,600,26-APR-2024,
FUTSTK,ADANIPORTS,30-May-2024,0,XX,1350,1353,1332.45,1337.2,1337.2,12044,64513.46,38474800,500400,26-APR-2024,
FUTSTK,ADANIPORTS,27-Jun-2024,0,XX,1354.6,1355.9,1339.2,1343.95,1343.95,498,2680.8,1096400,66800,26-APR-2024,
FUTSTK,ADANIPORTS,25-Jul-2024,0,XX,1353.7,1358.8,1350.25,1353,1353,19,103.02,7200,7200,26-APR-2024,
FUTSTK,ALKEM,30-May-2024,0,XX,4915.75,4959.15,4880.5,4945.65,4945.65,2674,13185.37,922600,-50800,26-APR-2024,
FUTSTK,ALKEM,27-Jun-2024,0,XX,4900,4988,4900,4963.05,4963.05,51,252.57,3200,400,26-APR-2024,
FUTSTK,ALKEM,25-Jul-2024,0,XX,0,0,0,4957.2,4999.55,0,0,0,0,26-APR-2024,
FUTSTK,AMBUJACEM,30-May-2024,0,XX,644.05,647,634.15,636.75,636.75,7871,45372.59,48397500,-713700,26-APR-2024,
FUTSTK,AMBUJACEM,27-Jun-2024,0,XX,646.6,650,637.3,638.85,638.85,245,1419.37,441000,25200,26-APR-2024,
FUTSTK,AMBUJACEM,25-Jul-2024,0,XX,649.4,651.95,642.2,642.75,643.85,9,52.37,6300,6300,26-APR-2024,
FUTSTK,APOLLOHOSP,30-May-2024,0,XX,6360,6390.95,6298,6315.6,6315.6,3248,25736.98,1806625,72125,26-APR-2024,
FUTSTK,APOLLOHOSP,27-Jun-2024,0,XX,6420,6427.4,6346.05,6362.8,6362.8,138,1101.27,10375,4125,26-APR-2024,
FUTSTK,APOLLOHOSP,25-Jul-2024,0,XX,0,0,0,6501.55,6372.45,0,0,0,0,26-APR-2024,
FUTSTK,APOLLOTYRE,30-May-2024,0,XX,495.85,497.45,485.2,492.35,492.35,2486,20744.11,11969700,-81600,26-APR-2024,
FUTSTK,APOLLOTYRE,27-Jun-2024,0,XX,492.35,494.6,483,489.1,489.1,137,1136.51,261800,35700,26-APR-2024,
FUTSTK,APOLLOTYRE,25-Jul-2024,0,XX,488.85,488.85,485.3,487.45,487.45,6,49.68,10200,10200,26-APR-2024,
FUTSTK,ASHOKLEY,30-May-2024,0,XX,178.95,189,178.6,186.8,186.8,16309,151339,104960000,11770000,26-APR-2024,
