INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,ADANIPORTS,31-Oct-2019,0,XX,0,0,0,386.35,377.25,0,0,5000,0,01-AUG-2019,
FUTSTK,ADANIPOWER,29-Aug-2019,0,XX,60.65,61.2,58.15,59.5,59.5,1348,16039.42,110860000,-960000,01-AUG-2019,
FUTSTK,ADANIPOWER,26-Sep-2019,0,XX,58.95,60.35,58.8,59.75,59.75,16,189.95,380000,40000,01-AUG-2019,
FUTSTK,ADANIPOWER,31-Oct-2019,0,XX,0,0,0,63.25,60.4,0,0,0,0,01-AUG-2019,
FUTSTK,AMARAJABAT,29-Aug-2019,0,XX,662.4,671.55,651.8,660.35,660.35,3321,15354.57,1731100,132300,01-AUG-2019,
FUTSTK,AMARAJABAT,26-Sep-2019,0,XX,657,663,647,655.45,655.45,62,284.2,46900,2100,01-AUG-2019,
FUTSTK,AMARAJABAT,31-Oct-2019,0,XX,0,0,0,647.45,676.6,0,0,0,0,01-AUG-2019,
FUTSTK,AMBUJACEM,29-Aug-2019,0,XX,201.5,202.5,195.25,198,198,2256,11252.37,21242500,730000,01-AUG-2019,
FUTSTK,AMBUJACEM,26-Sep-2019,0,XX,203.15,203.15,197.8,198.85,198.85,21,105.46,115000,10000,01-AUG-2019,
FUTSTK,AMBUJACEM,31-Oct-2019,0,XX,0,0,0,217.95,200.05,0,0,0,0,01-AUG-2019,
FUTSTK,APOLLOHOSP,29-Aug-2019,0,XX,1349.85,1380.5,1342.65,1364.2,1364.2,1607,10977.34,1263500,-8000,01-AUG-2019,
FUTSTK,APOLLOHOSP,26-Sep-2019,0,XX,1355,1374.35,1355,1364.55,1379.4,18,122.95,13500,3000,01-AUG-2019,
FUTSTK,APOLLOHOSP,31-Oct-2019,0,XX,1365.4,1380,1365.4,1370,1388.1,3,20.57,2500,1000,01-AUG-2019,
FUTSTK,APOLLOTYRE,29-Aug-2019,0,XX,157,158.5,152.45,155,155,2558,11916.79,9492000,-237000,01-AUG-2019,
FUTSTK,APOLLOTYRE,26-Sep-2019,0,XX,158,158.35,153.9,155.05,155.05,36,168.89,228000,18000,01-AUG-2019,
FUTSTK,APOLLOTYRE,31-Oct-2019,0,XX,0,0,0,164.3,156.7,0,0,0,0,01-AUG-2019,
FUTSTK,ARVIND,29-Aug-2019,0,XX,54.3,57.2,54.3,56.7,56.7,773,2588.49,8310000,-78000,01-AUG-2019,
FUTSTK,ARVIND,26-Sep-2019,0,XX,55.2,56.75,55.2,56.75,56.75,10,33.68,258000,30000,01-AUG-2019,
FUTSTK,ASHOKLEY,29-Aug-2019,0,XX,69.85,73.4,67.2,69.25,69.25,13126,55080.69,80706000,5334000,01-AUG-2019,
FUTSTK,ASHOKLEY,26-Sep-2019,0,XX,70.5,73.55,67.6,69.45,69.45,502,2118.51,1788000,138000,01-AUG-2019,
FUTSTK,ASHOKLEY,31-Oct-2019,0,XX,71.65,72.9,68.8,69.5,69.5,20,84.73,78000,24000,01-AUG-2019,
FUTSTK,ASIANPAINT,29-Aug-2019,0,XX,1522.75,1534,1502.55,1512.85,1512.85,4885,44392.88,6205800,-58200,01-AUG-2019,
FUTSTK,ASIANPAINT,26-Sep-2019,0,XX,1525,1538.55,1510,1517.95,1517.95,81,738.23,73800,10200,01-AUG-2019,
FUTSTK,ASIANPAINT,31-Oct-2019,0,XX,0,0,0,1533,1529.55,0,0,1800,0,01-AUG-2019,
FUTSTK,AUROPHARMA,29-Aug-2019,0,XX,568.6,570.45,544.75,553.25,553.25,6257,34783.47,15530000,-44000,01-AUG-2019,
FUTSTK,AUROPHARMA,26-Sep-2019,0,XX,569.45,569.45,547.5,556.85,556.85,127,710.29,150000,2000,01-AUG-2019,
FUTSTK,AUROPHARMA,31-Oct-2019,0,XX,561.85,561.85,556.05,558.45,558.45,3,16.76,3000,-1000,01-AUG-2019,
FUTSTK,AXISBANK,29-Aug-2019,0,XX,673.8,683.15,666.2,673.25,673.25,18547,150035.5,51118800,1166400,01-AUG-2019,
FUTSTK,AXISBANK,26-Sep-2019,0,XX,678.15,685.85,670,677.15,677.15,283,2300.23,454800,-19200,01-AUG-2019,
FUTSTK,AXISBANK,31-Oct-2019,0,XX,686.45,686.45,674,679.9,679.9,19,154.89,21600,4800,01-AUG-2019,
FUTSTK,BAJAJ-AUTO,29-Aug-2019,0,XX,2499.8,2564.1,2484,2551.9,2551.9,5284,33286.19,2168750,34000,01-AUG-2019,
FUTSTK,BAJAJ-AUTO,26-Sep-2019,0,XX,2526.55,2571.8,2498,2564.45,2564.45,45,284.02,24000,2500,01-AUG-2019,
FUTSTK,BAJAJ-AUTO,31-Oct-2019,0,XX,2520,2570,2515,2567.2,2567.2,4,25.42,1250,750,01-AUG-2019,
FUTSTK,BAJAJFINSV,29-Aug-2019,0,XX,7066.35,7202.85,7000.4,7117.75,7117.75,3881,34562.81,899500,2250,01-AUG-2019,
FUTSTK,BAJAJFINSV,26-Sep-2019,0,XX,7157.9,7248.2,7046.95,7146.75,7146.75,40,358.55,4500,250,01-AUG-2019,
FUTSTK,BAJAJFINSV,31-Oct-2019,0,XX,0,0,0,7200,7198.75,0,0,250,0,01-AUG-2019,
FUTSTK,BAJFINANCE,29-Aug-2019,0,XX,3240.05,3271.25,3182.45,3237.85,3237.85,17147,138663.53,6601500,-256250,01-AUG-2019,
FUTSTK,BAJFINANCE,26-Sep-2019,0,XX,3256.1,3279.05,3200,3255.1,3255.1,203,1649.11,67000,-500,01-AUG-2019,
FUTSTK,BAJFINANCE,31-Oct-2019,0,XX,0,0,0,3299.1,3275.25,0,0,750,0,01-AUG-2019,
FUTSTK,BALKRISIND,29-Aug-2019,0,XX,690.05,701.4,684,698.35,698.35,1363,7556.41,1885600,-36000,01-AUG-2019,
FUTSTK,BALKRISIND,26-Sep-2019,0,XX,697.4,703.25,686.65,691.45,711.55,11,60.79,52800,4000,01-AUG-2019,
FUTSTK,BALKRISIND,31-Oct-2019,0,XX,0,0,0,738.25,716.05,0,0,0,0,01-AUG-2019,
FUTSTK,BANKBARODA,29-Aug-2019,0,XX,106.25,107.7,103,105.75,105.75,7488,35614.94,55881000,180000,01-AUG-2019,
FUTSTK,BANKBARODA,26-Sep-2019,0,XX,105.65,107.75,103.7,106.3,106.3,221,1054.93,994500,18000,01-AUG-2019,
FUTSTK,BANKBARODA,31-Oct-2019,0,XX,106.5,106.5,105,105.55,107.3,5,23.77,58500,13500,01-AUG-2019,
FUTSTK,BANKINDIA,29-Aug-2019,0,XX,70.65,71.95,68.6,69.8,69.8,3604,15152.05,32088000,1884000,01-AUG-2019,
FUTSTK,BANKINDIA,26-Sep-2019,0,XX,71.35,72.15,69,69.95,69.95,185,776.5,1446000,210000,01-AUG-2019,
FUTSTK,BANKINDIA,31-Oct-2019,0,XX,71.1,71.1,70.25,70.25,71.4,6,25.34,48000,36000,01-AUG-2019,
FUTSTK,BATAINDIA,29-Aug-2019,0,XX,1307,1318.6,1296.35,1301.85,1301.85,3657,26288.5,2471700,-31350,01-AUG-2019,
FUTSTK,BATAINDIA,26-Sep-2019,0,XX,1313.45,1317.4,1303,1308.75,1315.05,8,57.7,7150,550,01-AUG-2019,
FUTSTK,BATAINDIA,31-Oct-2019,0,XX,0,0,0,1324.75,1323.35,0,0,0,0,01-AUG-2019,
FUTSTK,BEL,29-Aug-2019,0,XX,100.1,100.55,95.65,97.75,97.75,3866,22754.68,36324000,-246000,01-AUG-2019,
FUTSTK,BEL,26-Sep-2019,0,XX,99.5,100.5,96.1,97.8,97.8,164,965.74,2652000,-96000,01-AUG-2019,
FUTSTK,BEL,31-Oct-2019,0,XX,0,0,0,100.95,100.4,0,0,0,0,01-AUG-2019,
FUTSTK,BERGEPAINT,29-Aug-2019,0,XX,329,333.2,327.6,332.3,332.3,806,5871.69,2083400,-4400,01-AUG-2019,
FUTSTK,BERGEPAINT,26-Sep-2019,0,XX,330.6,330.6,329.05,330.5,330.5,7,50.83,55000,-6600,01-AUG-2019,
FUTSTK,BERGEPAINT,31-Oct-2019,0,XX,0,0,0,332.95,337,0,0,0,0,01-AUG-2019,
FUTSTK,BHARATFORG,29-Aug-2019,0,XX,418.6,424.9,415.65,421.3,421.3,1562,7871.34,7933200,-126000,01-AUG-2019,
FUTSTK,BHARATFORG,26-Sep-2019,0,XX,420.4,425.7,418.2,422.7,422.7,46,232.92,81600,19200,01-AUG-2019,
FUTSTK,BHARATFORG,31-Oct-2019,0,XX,0,0,0,436,427.15,0,0,0,0,01-AUG-2019,
FUTSTK,BHARTIARTL,29-Aug-2019,0,XX,336.5,339.2,322.7,324.55,324.55,10190,62211.58,32483199,-592320,01-AUG-2019,
FUTSTK,BHARTIARTL,26-Sep-2019,0,XX,335.15,340.4,324.85,326.3,326.3,138,845.86,120315,35169,01-AUG-2019,
FUTSTK,BHARTIARTL,31-Oct-2019,0,XX,338.15,339,326.8,329.05,329.05,5,30.92,7404,0,01-AUG-2019,
FUTSTK,BHEL,29-Aug-2019,0,XX,58.4,59.35,56.8,57.9,57.9,1675,7286.08,44325000,1462500,01-AUG-2019,
FUTSTK,BHEL,26-Sep-2019,0,XX,57.85,58.5,55.95,57,57,236,1008.57,5055000,795000,01-AUG-2019,
FUTSTK,BHEL,31-Oct-2019,0,XX,58.4,58.4,56.65,56.65,58.5,7,30.12,397500,30000,01-AUG-2019,
FUTSTK,BIOCON,29-Aug-2019,0,XX,225.35,227.1,222,224.6,224.6,2704,10918.09,11851200,-302400,01-AUG-2019,
FUTSTK,BIOCON,26-Sep-2019,0,XX,226.2,227,223.5,225.85,225.85,49,198.82,754200,7200,01-AUG-2019,
FUTSTK,BIOCON,31-Oct-2019,0,XX,225.9,225.9,225.45,225.45,227.25,2,8.12,3600,1800,01-AUG-2019,
FUTSTK,BOSCHLTD,29-Aug-2019,0,XX,14230,14634.35,14209.75,14586.6,14586.6,679,2955.13,164220,-480,01-AUG-2019,
FUTSTK,BOSCHLTD,26-Sep-2019,0,XX,14570.35,14570.35,14534.75,14534.75,14790.85,5,21.84,1350,-30,01-AUG-2019,
FUTSTK,BOSCHLTD,31-Oct-2019,0,XX,0,0,0,15272.75,14884.15,0,0,0,0,01-AUG-2019,
FUTSTK,BPCL,29-Aug-2019,0,XX,335.55,338.6,332.4,336.65,336.65,2425,14651.46,13174200,-66600,01-AUG-2019,
FUTSTK,BPCL,26-Sep-2019,0,XX,337.55,338.75,334.25,336.7,347.15,23,139.61,100800,0,01-AUG-2019,
FUTSTK,BPCL,31-Oct-2019,0,XX,0,0,0,346.45,349.35,0,0,0,0,01-AUG-2019,
FUTSTK,BRITANNIA,29-Aug-2019,0,XX,2585,2617.05,2570.95,2600.85,2600.85,2745,14237.02,2257200,-3800,01-AUG-2019,
FUTSTK,BRITANNIA,26-Sep-2019,0,XX,2601.5,2616.15,2585.05,2608.5,2608.5,33,171.7,24600,2600,01-AUG-2019,
FUTSTK,BRITANNIA,31-Oct-2019,0,XX,0,0,0,2614.35,2643.8,0,0,1000,0,01-AUG-2019,
FUTSTK,BSOFT,29-Aug-2019,0,XX,74.75,76.8,74.75,75.7,75.7,279,1079.22,2499000,270300,01-AUG-2019,
FUTSTK,BSOFT,26-Sep-2019,0,XX,0,0,0,74.75,76.15,0,0,61200,0,01-AUG-2019,
FUTSTK,CADILAHC,29-Aug-2019,0,XX,229.9,230,222.4,226.85,226.85,1609,5809.23,13590400,-212800,01-AUG-2019,
FUTSTK,CADILAHC,26-Sep-2019,0,XX,228.5,228.9,226.5,227.55,227.55,20,72.94,100800,19200,01-AUG-2019,
FUTSTK,CADILAHC,31-Oct-2019,0,XX,0,0,0,234.35,230.05,0,0,0,0,01-AUG-2019,
FUTSTK,CANBK,29-Aug-2019,0,XX,234.05,237.55,227.15,230.55,230.55,5598,25949.67,9672000,-62000,01-AUG-2019,
FUTSTK,CANBK,26-Sep-2019,0,XX,235.1,238,228,231.45,231.45,144,669.97,338000,12000,01-AUG-2019,
FUTSTK,CANBK,31-Oct-2019,0,XX,234.85,235.7,229,230.6,230.6,8,37.19,12000,6000,01-AUG-2019,
FUTSTK,CASTROLIND,29-Aug-2019,0,XX,118.7,121,115.45,116.2,116.2,772,3092.79,8462600,187000,01-AUG-2019,
FUTSTK,CASTROLIND,26-Sep-2019,0,XX,120,121.35,116.4,116.4,116.4,19,76.63,204000,27200,01-AUG-2019,
FUTSTK,CASTROLIND,31-Oct-2019,0,XX,120,120,117,117.05,117.05,3,12.03,17000,3400,01-AUG-2019,
FUTSTK,CENTURYTEX,29-Aug-2019,0,XX,888.05,899.5,868.4,877.75,877.75,2341,12370.35,3831000,14400,01-AUG-2019,
FUTSTK,CENTURYTEX,26-Sep-2019,0,XX,887.1,887.15,878.3,879.35,879.35,11,58.18,20400,600,01-AUG-2019,
FUTSTK,CENTURYTEX,31-Oct-2019,0,XX,0,0,0,908,893.4,0,0,0,0,01-AUG-2019,
FUTSTK,CESC,29-Aug-2019,0,XX,743.1,752.05,731.45,749.35,749.35,762,4539.49,921600,-8000,01-AUG-2019,
FUTSTK,CESC,26-Sep-2019,0,XX,748,748,734.7,748,756.4,3,17.84,6400,800,01-AUG-2019,
FUTSTK,CESC,31-Oct-2019,0,XX,0,0,0,773.95,761.15,0,0,0,0,01-AUG-2019,
FUTSTK,CHOLAFIN,29-Aug-2019,0,XX,257.5,265.3,257,258.3,258.3,2585,16882.79,3637500,160000,01-AUG-2019,
FUTSTK,CHOLAFIN,26-Sep-2019,0,XX,259.1,264,259.05,264,262.25,6,39.04,27500,5000,01-AUG-2019,
FUTSTK,CHOLAFIN,31-Oct-2019,0,XX,0,0,0,253.55,263.9,0,0,0,0,01-AUG-2019,
FUTSTK,CIPLA,29-Aug-2019,0,XX,517.35,520.3,510.5,514.95,514.95,1907,9807.02,12143000,-173000,01-AUG-2019,
FUTSTK,CIPLA,26-Sep-2019,0,XX,516.95,519.7,513.2,517.25,517.25,35,180.58,33000,-1000,01-AUG-2019,
FUTSTK,CIPLA,31-Oct-2019,0,XX,0,0,0,546.35,520.9,0,0,0,0,01-AUG-2019,
FUTSTK,COALINDIA,29-Aug-2019,0,XX,204.7,205.15,200.95,203.15,203.15,3164,14123.26,37208600,-838200,01-AUG-2019,
FUTSTK,COALINDIA,26-Sep-2019,0,XX,204.6,204.85,202,204.15,204.15,58,260.02,299200,8800,01-AUG-2019,
FUTSTK,COALINDIA,31-Oct-2019,0,XX,204.55,204.55,203,203,205.8,2,8.96,26400,4400,01-AUG-2019,
FUTSTK,COLPAL,29-Aug-2019,0,XX,1180,1190.2,1176,1184.4,1184.4,783,6483.24,1975400,22400,01-AUG-2019,
FUTSTK,COLPAL,26-Sep-2019,0,XX,1181.9,1185.05,1179,1179,1195.1,11,91.05,13300,2800,01-AUG-2019,
FUTSTK,COLPAL,31-Oct-2019,0,XX,0,0,0,1163.95,1202.65,0,0,0,0,01-AUG-2019,
FUTSTK,CONCOR,29-Aug-2019,0,XX,496,515.65,496,511,511,1223,9699.87,2085042,-103158,01-AUG-2019,
FUTSTK,CONCOR,26-Sep-2019,0,XX,504.8,504.8,504.8,510.6,510.6,9,71.59,25008,12504,01-AUG-2019,
FUTSTK,CONCOR,31-Oct-2019,0,XX,0,0,0,537.55,523.95,0,0,0,0,01-AUG-2019,
FUTSTK,CUMMINSIND,29-Aug-2019,0,XX,703.65,709,684.4,691.1,691.1,754,3661.56,1954400,14700,01-AUG-2019,
FUTSTK,CUMMINSIND,26-Sep-2019,0,XX,697.6,697.6,672.1,676.25,676.25,28,134.24,112000,-9100,01-AUG-2019,
FUTSTK,CUMMINSIND,31-Oct-2019,0,XX,0,0,0,675.05,704.8,0,0,2800,0,01-AUG-2019,
FUTSTK,DABUR,29-Aug-2019,0,XX,422.6,428.35,422.1,426.1,426.1,1801,9591.02,13326250,126250,01-AUG-2019,
FUTSTK,DABUR,26-Sep-2019,0,XX,427.3,429.75,427,427.05,427.05,16,85.61,55000,-1250,01-AUG-2019,
FUTSTK,DABUR,31-Oct-2019,0,XX,0,0,0,430.5,432.45,0,0,0,0,01-AUG-2019,
FUTSTK,DHFL,29-Aug-2019,0,XX,43.3,44.45,40.75,42.4,42.4,1426,2424.01,16124000,224000,01-AUG-2019,
FUTSTK,DHFL,26-Sep-2019,0,XX,39.8,40.65,37.5,38.75,38.75,83,129.73,1024000,132000,01-AUG-2019,
FUTSTK,DISHTV,29-Aug-2019,0,XX,26.95,27.55,25.35,25.85,25.85,2385,8756.72,105560000,-224000,01-AUG-2019,
FUTSTK,DISHTV,26-Sep-2019,0,XX,26.55,27.65,25.9,25.95,25.95,28,102.8,364000,14000,01-AUG-2019,
FUTSTK,DISHTV,31-Oct-2019,0,XX,0,0,0,32.85,26.15,0,0,0,0,01-AUG-2019,
FUTSTK,DIVISLAB,29-Aug-2019,0,XX,1688.25,1688.25,1590,1608.1,1608.1,1806,11628.17,2666800,-24000,01-AUG-2019,
FUTSTK,DIVISLAB,26-Sep-2019,0,XX,1637.95,1637.95,1603,1603,1631.7,15,96.95,65200,400,01-AUG-2019,
FUTSTK,DIVISLAB,31-Oct-2019,0,XX,1613.5,1618,1610.3,1610.35,1642,4,25.8,4000,1600,01-AUG-2019,
FUTSTK,DLF,29-Aug-2019,0,XX,176.9,177.95,170.55,173.45,173.45,6813,33089.9,36117200,386400,01-AUG-2019,
FUTSTK,DLF,26-Sep-2019,0,XX,178,178.45,171.6,174.45,174.45,112,545.75,610400,30800,01-AUG-2019,
FUTSTK,DLF,31-Oct-2019,0,XX,179.35,179.35,179.35,179.35,175.25,2,10.04,16800,2800,01-AUG-2019,
FUTSTK,DRREDDY,29-Aug-2019,0,XX,2584.95,2585,2505,2548.3,2548.3,5589,35444.77,3391750,-40500,01-AUG-2019,
FUTSTK,DRREDDY,26-Sep-2019,0,XX,2581,2581,2519.35,2563.05,2563.05,84,534.75,28750,-3250,01-AUG-2019,
FUTSTK,DRREDDY,31-Oct-2019,0,XX,0,0,0,2701.95,2575.55,0,0,0,0,01-AUG-2019,
FUTSTK,EICHERMOT,29-Aug-2019,0,XX,15923.8,16597,15779,16450.6,16450.6,12381,50475.52,413675,12275,01-AUG-2019,
FUTSTK,EICHERMOT,26-Sep-2019,0,XX,15815.95,16634.1,15815.95,16542.2,16542.2,120,492.19,9600,-175,01-AUG-2019,
FUTSTK,EICHERMOT,31-Oct-2019,0,XX,15890,15890,15890,15890,16835.9,1,3.97,75,25,01-AUG-2019,
FUTSTK,ENGINERSIN,29-Aug-2019,0,XX,100.5,101.1,96.5,98.1,98.1,692,3146.94,6596400,-225400,01-AUG-2019,
FUTSTK,ENGINERSIN,26-Sep-2019,0,XX,99.95,100.5,96.8,98,98,16,72.69,303600,18400,01-AUG-2019,
FUTSTK,EQUITAS,29-Aug-2019,0,XX,114.1,116.4,112.15,115,115,1989,9127.68,14424000,396000,01-AUG-2019,
FUTSTK,EQUITAS,26-Sep-2019,0,XX,115.55,116.4,113.25,115.3,115.3,19,87.61,148000,-20000,01-AUG-2019,
FUTSTK,EQUITAS,31-Oct-2019,0,XX,0,0,0,114.45,116.4,0,0,4000,0,01-AUG-2019,
FUTSTK,ESCORTS,29-Aug-2019,0,XX,459.8,470.4,453.05,461.95,461.95,4512,22894.34,5548400,6600,01-AUG-2019,
FUTSTK,ESCORTS,26-Sep-2019,0,XX,462.75,468.4,456.75,464.05,464.05,73,371.35,96800,8800,01-AUG-2019,
FUTSTK,ESCORTS,31-Oct-2019,0,XX,464.6,464.6,464.6,464.6,464.6,1,5.11,2200,1100,01-AUG-2019,
FUTSTK,EXIDEIND,29-Aug-2019,0,XX,183.75,185.65,181,182.95,182.95,999,4390.95,8520000,-55200,01-AUG-2019,
FUTSTK,EXIDEIND,26-Sep-2019,0,XX,185.1,185.1,183,183,184.1,6,26.52,120000,4800,01-AUG-2019,
FUTSTK,EXIDEIND,31-Oct-2019,0,XX,0,0,0,184.7,185.3,0,0,0,0,01-AUG-2019,
FUTSTK,FEDERALBNK,29-Aug-2019,0,XX,92.7,92.7,88.2,90,90,3240,20479.64,37667000,1834000,01-AUG-2019,
FUTSTK,FEDERALBNK,26-Sep-2019,0,XX,92.3,92.4,88.7,90.45,90.45,167,1058.79,1673000,315000,01-AUG-2019,
FUTSTK,FEDERALBNK,31-Oct-2019,0,XX,91.8,91.8,90.25,90.85,90.85,4,25.52,28000,21000,01-AUG-2019,
FUTSTK,GAIL,29-Aug-2019,0,XX,128.5,130.8,125.55,128.15,128.15,2325,15938.57,38735508,-74676,01-AUG-2019,
FUTSTK,GAIL,26-Sep-2019,0,XX,129.1,130.95,127.1,128.55,128.55,40,276.66,912114,48006,01-AUG-2019,
FUTSTK,GAIL,31-Oct-2019,0,XX,0,0,0,137.2,130.75,0,0,0,0,01-AUG-2019,
FUTSTK,GLENMARK,29-Aug-2019,0,XX,425,433.95,418.4,423.65,423.65,1688,7188.66,4847000,-323000,01-AUG-2019,
FUTSTK,GLENMARK,26-Sep-2019,0,XX,428.85,435.3,419.95,420.65,427.5,32,137.44,248000,7000,01-AUG-2019,
FUTSTK,GLENMARK,31-Oct-2019,0,XX,428.6,428.6,421.1,421.1,430.2,2,8.49,5000,2000,01-AUG-2019,
FUTSTK,GMRINFRA,29-Aug-2019,0,XX,14.9,15.15,14.65,14.8,14.8,579,3877.4,146610000,-3285000,01-AUG-2019,
FUTSTK,GMRINFRA,26-Sep-2019,0,XX,15.1,15.25,14.8,14.9,14.9,9,60.75,1530000,45000,01-AUG-2019,
FUTSTK,GMRINFRA,31-Oct-2019,0,XX,14.9,14.9,14.9,14.9,15.25,1,6.7,45000,0,01-AUG-2019,
FUTSTK,GODREJCP,29-Aug-2019,0,XX,599.95,621.45,596.1,605,605,5637,27413.28,6214400,378400,01-AUG-2019,
FUTSTK,GODREJCP,26-Sep-2019,0,XX,603.25,621.55,601.35,606.75,606.75,53,259.09,28000,5600,01-AUG-2019,
FUTSTK,GODREJCP,31-Oct-2019,0,XX,621.4,621.4,621.4,621.4,613.5,1,4.97,800,800,01-AUG-2019,
FUTSTK,GRASIM,29-Aug-2019,0,XX,772.65,778.95,759.95,771.1,771.1,2833,16377.07,11961000,-62250,01-AUG-2019,
FUTSTK,GRASIM,26-Sep-2019,0,XX,776.5,780.2,764,776,776,31,180.19,2238750,9000,01-AUG-2019,
FUTSTK,GRASIM,31-Oct-2019,0,XX,0,0,0,786.4,787.35,0,0,3750,0,01-AUG-2019,
FUTSTK,HAVELLS,29-Aug-2019,0,XX,640.6,654.4,638.55,647.55,647.55,3012,19479.3,7001000,-206000,01-AUG-2019,
FUTSTK,HAVELLS,26-Sep-2019,0,XX,648.45,653.35,641.9,649.55,649.55,25,161.94,48000,8000,01-AUG-2019,
FUTSTK,HAVELLS,31-Oct-2019,0,XX,652.95,652.95,652.6,652.6,658.45,2,13.05,4000,0,01-AUG-2019,
FUTSTK,HCLTECH,29-Aug-2019,0,XX,1037.15,1040.8,1014.6,1020.95,1020.95,2662,19119.92,8537900,-233100,01-AUG-2019,
FUTSTK,HCLTECH,26-Sep-2019,0,XX,1032,1041.25,1023.6,1027.5,1027.5,34,245.65,28700,1400,01-AUG-2019,
FUTSTK,HCLTECH,31-Oct-2019,0,XX,0,0,0,1029.55,1038.4,0,0,0,0,01-AUG-2019,
FUTSTK,HDFC,29-Aug-2019,0,XX,2123.4,2123.6,2075.2,2098.1,2098.1,9779,102401.13,28382500,181000,01-AUG-2019,
FUTSTK,HDFC,26-Sep-2019,0,XX,2156.3,2156.3,2089.05,2109,2109,533,5608.14,344000,113500,01-AUG-2019,
FUTSTK,HDFC,31-Oct-2019,0,XX,2100.5,2121,2100.5,2113.65,2121.25,4,42.18,1500,1000,01-AUG-2019,
FUTSTK,HDFCBANK,29-Aug-2019,0,XX,2244.8,2249,2210.3,2233.95,2233.95,22417,125080.62,17344000,1238250,01-AUG-2019,
FUTSTK,HDFCBANK,26-Sep-2019,0,XX,2260,2260,2220,2241.15,2241.15,494,2765.23,186500,40000,01-AUG-2019,
FUTSTK,HDFCBANK,31-Oct-2019,0,XX,2256,2257.9,2240,2257.9,2257.9,4,22.5,1750,500,01-AUG-2019,
FUTSTK,HEROMOTOCO,29-Aug-2019,0,XX,2340,2393.85,2313.25,2382.25,2382.25,5966,28115.09,2526600,60400,01-AUG-2019,
FUTSTK,HEROMOTOCO,26-Sep-2019,0,XX,2338.55,2400,2337.7,2399.7,2399.7,63,298.12,21400,2000,01-AUG-2019,
FUTSTK,HEROMOTOCO,31-Oct-2019,0,XX,2369.8,2404,2369.8,2404,2404,2,9.54,1600,-200,01-AUG-2019,
FUTSTK,HEXAWARE,29-Aug-2019,0,XX,359,362.85,349.6,352.9,352.9,733,3902.77,2445000,28500,01-AUG-2019,
FUTSTK,HEXAWARE,26-Sep-2019,0,XX,364.2,364.2,349.95,350.65,350.65,8,42.62,9000,9000,01-AUG-2019,
FUTSTK,HEXAWARE,31-Oct-2019,0,XX,0,0,0,367.95,360.75,0,0,0,0,01-AUG-2019,
