INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,MPHASIS,29-Apr-2021,0,XX,0,0,0,1662.45,1658.85,0,0,0,0,26-FEB-2021,
FUTSTK,MPHASIS,29-Apr-2021,0,XX,0,0,0,1662.45,1648.95,0,0,0,0,01-MAR-2021,
FUTSTK,MPHASIS,29-Apr-2021,0,XX,1653.5,1680,1653.5,1680,1698,3,16.26,325,325,02-MAR-2021,
FUTSTK,MPHASIS,29-Apr-2021,0,XX,1724.1,1740.8,1702.45,1702.45,1706,8,44.89,1950,1625,03-MAR-2021,
FUTSTK,MPHASIS,29-Apr-2021,0,XX,1706,1718.8,1706,1718.8,1697.1,2,11.13,2275,325,04-MAR-2021,
FUTSTK,MPHASIS,29-Apr-2021,0,XX,1640,1654.95,1640,1654.95,1654.95,3,16.03,3250,975,05-MAR-2021,
FUTSTK,MPHASIS,29-Apr-2021,0,XX,1632,1632,1632,1632,1632,1,5.3,3250,0,08-MAR-2021,
FUTSTK,MPHASIS,29-Apr-2021,0,XX,1608,1608,1608,1608,1608,1,5.22,3575,325,09-MAR-2021,
FUTSTK,MPHASIS,29-Apr-2021,0,XX,1639,1689.35,1639,1689.35,1655.1,10,54.25,4875,1300,10-MAR-2021,
FUTSTK,MPHASIS,29-Apr-2021,0,XX,1660,1681.9,1633.2,1633.2,1633.2,14,75.33,5200,325,12-MAR-2021,
FUTSTK,MPHASIS,29-Apr-2021,0,XX,1633.2,1659.35,1633.2,1659.35,1636,4,21.35,4875,-325,15-MAR-2021,
FUTSTK,MPHASIS,29-Apr-2021,0,XX,1664.95,1750,1664.95,1743.75,1743.75,30,167.91,5200,325,16-MAR-2021,
FUTSTK,MPHASIS,29-Apr-2021,0,XX,1734,1779.75,1685.4,1692.85,1692.85,28,157.89,6175,975,17-MAR-2021,
FUTSTK,MPHASIS,29-Apr-2021,0,XX,1720.45,1737.9,1624.3,1647.9,1647.9,70,380.1,14625,8450,18-MAR-2021,
FUTSTK,MPHASIS,29-Apr-2021,0,XX,1650.05,1694.8,1648,1687.8,1687.8,52,281.8,16575,1950,19-MAR-2021,
FUTSTK,MPHASIS,29-Apr-2021,0,XX,1681.25,1692.8,1648,1681.3,1681.3,425,2314.42,123500,106925,22-MAR-2021,
