INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,63050.05,64089.9,63050.05,63977.6,63977.6,1219,7789.75,3980,3980,24-APR-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,62630.9,64299.5,62630.9,64178.15,64178.15,660,4227.21,4040,60,25-APR-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,64200.15,64799,64200.15,64613.8,64613.8,679,4383.4,5250,1210,26-APR-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,64800,64999,64000.45,64849.3,64849.3,510,3299.75,5560,310,29-APR-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,64260.2,65639.95,64240.5,65291.3,65291.3,767,5009.48,6320,760,30-APR-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,65490,66330,65340.55,66215.5,66215.5,884,5828.52,8760,2440,02-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,66525,66686,65414,66067.8,66067.8,1011,6685.01,9460,700,03-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,66067.8,66149.85,64812,65389.25,65389.25,1171,7657.87,8380,-1080,06-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,65433.35,65589.25,64030.05,64446.3,64446.3,1246,8058.93,7480,-900,07-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,64299.95,65387.85,64100.05,65049,65049,1205,7823.98,8190,710,08-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,65050.05,65194.9,63701.75,63847.95,63847.95,1092,7028.06,8240,50,09-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,63999.95,64454.75,63541.4,64214.25,64214.25,739,4738.32,7960,-280,10-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,64298.95,64873.95,63311,64783.8,64783.8,1132,7261.09,7680,-280,13-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,64979.95,65440,64800,65360.45,65360.45,539,3511.36,7300,-380,14-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,65780,65889.95,65412,65550.25,65550.25,327,2144.95,7210,-90,15-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,65880,66479.95,65560.4,66310.15,66310.15,804,5307.23,7320,110,16-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,66179.35,66966,66175,66890.8,66890.8,567,3782.69,8200,880,17-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,67151.15,68045,67151.15,67989.7,67989.7,501,3397.94,8530,200,21-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,68280,68376.95,67599.95,68255.7,68255.7,671,4566.41,7830,-700,22-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,68199.95,68850,68130.05,68747.25,68747.25,731,5010.41,9210,1380,23-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,68762.5,69410,68630,69030.05,69030.05,685,4733.46,9060,-150,24-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,69152.85,69548.55,68500,69121.3,69121.3,898,6202.79,9040,-20,27-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,69250.85,69299.95,68050.05,68442.35,68442.35,943,6466.93,6300,-2740,28-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,68400,68439.95,67913.05,68110.75,68110.75,733,5000.3,6300,0,29-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,68003.75,68110.75,67423.75,67555.15,67555.15,762,5165.18,5180,-1120,30-MAY-2024,
FUTIDX,NIFTYNXT50,31-May-2024,0,XX,67715.1,67947.95,67004,67514.65,67527.65,2209,14882.05,6900,1720,31-MAY-2024,
FUTIDX,NIFTYNXT50,28-Jun-2024,0,XX,70000,71100,69498.2,70952.75,70952.75,1038,7296.13,6070,1300,03-JUN-2024,
FUTIDX,NIFTYNXT50,28-Jun-2024,0,XX,70683.8,70683.85,63857.5,64295.1,64295.1,2083,13917.17,8040,1970,04-JUN-2024,
FUTIDX,NIFTYNXT50,28-Jun-2024,0,XX,64754.85,67288,62835.15,67016.65,67016.65,1296,8505.62,6930,-1110,05-JUN-2024,
FUTIDX,NIFTYNXT50,28-Jun-2024,0,XX,67850.1,69000,67394.3,68522.6,68522.6,1240,8483.06,6320,-610,06-JUN-2024,
FUTIDX,NIFTYNXT50,28-Jun-2024,0,XX,68634.35,69500.05,68340.15,69449.95,69449.95,562,3878.85,5550,-770,07-JUN-2024,
