INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,COFORGE,29-Oct-2020,0,XX,0,0,0,2040,2018.9,0,0,1500,0,20-AUG-2020,
FUTSTK,COFORGE,29-Oct-2020,0,XX,1983,1983,1983,1983,1983,1,7.43,1875,375,21-AUG-2020,
FUTSTK,COFORGE,29-Oct-2020,0,XX,1966.15,1966.55,1966.15,1966.55,1966.55,5,36.86,2625,750,24-AUG-2020,
FUTSTK,COFORGE,29-Oct-2020,0,XX,1953.2,1967.7,1953.2,1967.7,1958.35,4,29.41,3375,750,25-AUG-2020,
FUTSTK,COFORGE,29-Oct-2020,0,XX,1955.05,1955.05,1955.05,1955.05,1964.7,1,7.33,3375,0,26-AUG-2020,
FUTSTK,COFORGE,29-Oct-2020,0,XX,1965.8,1965.8,1961,1962,1954.55,4,29.43,4500,1125,27-AUG-2020,
FUTSTK,COFORGE,26-Nov-2020,0,XX,0,0,0,1961.05,2022.2,0,0,0,0,28-AUG-2020,
FUTSTK,COFORGE,26-Nov-2020,0,XX,0,0,0,1961.05,1943.65,0,0,0,0,31-AUG-2020,
FUTSTK,COFORGE,26-Nov-2020,0,XX,0,0,0,1961.05,1910.1,0,0,0,0,01-SEP-2020,
FUTSTK,COFORGE,26-Nov-2020,0,XX,0,0,0,1961.05,1965.55,0,0,0,0,02-SEP-2020,
FUTSTK,COFORGE,26-Nov-2020,0,XX,0,0,0,1961.05,1979.65,0,0,0,0,03-SEP-2020,
FUTSTK,COFORGE,26-Nov-2020,0,XX,0,0,0,1961.05,1937.75,0,0,0,0,04-SEP-2020,
FUTSTK,COFORGE,26-Nov-2020,0,XX,0,0,0,1961.05,1940.35,0,0,0,0,07-SEP-2020,
FUTSTK,COFORGE,26-Nov-2020,0,XX,0,0,0,1961.05,1962.2,0,0,0,0,08-SEP-2020,
FUTSTK,COFORGE,26-Nov-2020,0,XX,0,0,0,1961.05,1927.15,0,0,0,0,09-SEP-2020,
FUTSTK,COFORGE,26-Nov-2020,0,XX,0,0,0,1961.05,1928.95,0,0,0,0,10-SEP-2020,
FUTSTK,COFORGE,26-Nov-2020,0,XX,0,0,0,1961.05,2109.3,0,0,0,0,11-SEP-2020,
FUTSTK,COFORGE,26-Nov-2020,0,XX,0,0,0,1961.05,2173.1,0,0,0,0,14-SEP-2020,
FUTSTK,COFORGE,26-Nov-2020,0,XX,0,0,0,1961.05,2162.9,0,0,0,0,15-SEP-2020,
FUTSTK,COFORGE,26-Nov-2020,0,XX,0,0,0,1961.05,2199.6,0,0,0,0,16-SEP-2020,
