INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,SRTRANSFIN,31-Mar-2016,0,XX,0,0,0,874.75,881.75,0,0,0,0,01-JAN-2016,
FUTSTK,SRTRANSFIN,31-Mar-2016,0,XX,0,0,0,874.75,855.95,0,0,0,0,04-JAN-2016,
FUTSTK,SRTRANSFIN,31-Mar-2016,0,XX,0,0,0,874.75,880.2,0,0,0,0,05-JAN-2016,
FUTSTK,SRTRANSFIN,31-Mar-2016,0,XX,0,0,0,874.75,887.85,0,0,0,0,06-JAN-2016,
FUTSTK,SRTRANSFIN,31-Mar-2016,0,XX,0,0,0,874.75,835.8,0,0,0,0,07-JAN-2016,
FUTSTK,SRTRANSFIN,31-Mar-2016,0,XX,0,0,0,874.75,856.35,0,0,0,0,08-JAN-2016,
FUTSTK,SRTRANSFIN,31-Mar-2016,0,XX,0,0,0,874.75,831.5,0,0,0,0,11-JAN-2016,
FUTSTK,SRTRANSFIN,31-Mar-2016,0,XX,0,0,0,874.75,821.2,0,0,0,0,12-JAN-2016,
FUTSTK,SRTRANSFIN,31-Mar-2016,0,XX,0,0,0,874.75,819.75,0,0,0,0,13-JAN-2016,
FUTSTK,SRTRANSFIN,31-Mar-2016,0,XX,0,0,0,874.75,812.7,0,0,0,0,14-JAN-2016,
FUTSTK,SRTRANSFIN,31-Mar-2016,0,XX,790,790,790,790,777.05,1,4.74,600,600,15-JAN-2016,
FUTSTK,SRTRANSFIN,31-Mar-2016,0,XX,0,0,0,790,779,0,0,600,0,18-JAN-2016,
FUTSTK,SRTRANSFIN,31-Mar-2016,0,XX,0,0,0,790,787,0,0,600,0,19-JAN-2016,
FUTSTK,SRTRANSFIN,31-Mar-2016,0,XX,0,0,0,790,761.35,0,0,600,0,20-JAN-2016,
FUTSTK,SRTRANSFIN,31-Mar-2016,0,XX,0,0,0,790,752.05,0,0,600,0,21-JAN-2016,
FUTSTK,SRTRANSFIN,31-Mar-2016,0,XX,0,0,0,790,763.65,0,0,600,0,22-JAN-2016,
FUTSTK,SRTRANSFIN,31-Mar-2016,0,XX,0,0,0,790,759.9,0,0,600,0,25-JAN-2016,
FUTSTK,SRTRANSFIN,31-Mar-2016,0,XX,0,0,0,790,757.5,0,0,600,0,27-JAN-2016,
FUTSTK,SRTRANSFIN,31-Mar-2016,0,XX,0,0,0,790,760.95,0,0,600,0,28-JAN-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,0,0,0,765.55,860.85,0,0,0,0,29-JAN-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,0,0,0,765.55,824.95,0,0,0,0,01-FEB-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,0,0,0,765.55,816.25,0,0,0,0,02-FEB-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,0,0,0,765.55,819.25,0,0,0,0,03-FEB-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,0,0,0,765.55,848.15,0,0,0,0,04-FEB-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,0,0,0,765.55,856.95,0,0,0,0,05-FEB-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,0,0,0,765.55,871.65,0,0,0,0,08-FEB-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,0,0,0,765.55,832.2,0,0,0,0,09-FEB-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,0,0,0,765.55,824.5,0,0,0,0,10-FEB-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,0,0,0,765.55,792.8,0,0,0,0,11-FEB-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,0,0,0,765.55,799.95,0,0,0,0,12-FEB-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,0,0,0,765.55,826.4,0,0,0,0,15-FEB-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,0,0,0,765.55,822.1,0,0,0,0,16-FEB-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,0,0,0,765.55,847.05,0,0,0,0,17-FEB-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,0,0,0,765.55,847.95,0,0,0,0,18-FEB-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,0,0,0,765.55,838.9,0,0,0,0,19-FEB-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,0,0,0,765.55,853.95,0,0,0,0,22-FEB-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,0,0,0,765.55,821.2,0,0,0,0,23-FEB-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,0,0,0,765.55,826.9,0,0,0,0,24-FEB-2016,
FUTSTK,SRTRANSFIN,28-Apr-2016,0,XX,799.1,810,799.1,810,807.4,2,9.65,1200,1200,25-FEB-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,816.7,0,0,0,0,26-FEB-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,821.75,0,0,0,0,29-FEB-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,866.85,0,0,0,0,01-MAR-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,884.4,0,0,0,0,02-MAR-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,895,0,0,0,0,03-MAR-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,928.05,0,0,0,0,04-MAR-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,938.4,0,0,0,0,08-MAR-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,952.7,0,0,0,0,09-MAR-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,940.7,0,0,0,0,10-MAR-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,942.65,0,0,0,0,11-MAR-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,957.55,0,0,0,0,14-MAR-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,940.15,0,0,0,0,15-MAR-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,926,0,0,0,0,16-MAR-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,926.65,0,0,0,0,17-MAR-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,924.2,0,0,0,0,18-MAR-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,945.5,0,0,0,0,21-MAR-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,947.3,3,16.83,1800,1800,22-MAR-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,919.6,0,0,1800,0,23-MAR-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,917.7,0,0,1800,0,28-MAR-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,935.3,3,16.71,0,-1800,29-MAR-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,960.5,0,0,0,0,30-MAR-2016,
FUTSTK,SRTRANSFIN,26-May-2016,0,XX,0,0,0,812.55,965.1,0,0,0,0,31-MAR-2016,
FUTSTK,SRTRANSFIN,30-Jun-2016,0,XX,0,0,0,972.65,945.15,0,0,0,0,01-APR-2016,
FUTSTK,SRTRANSFIN,30-Jun-2016,0,XX,0,0,0,972.65,939.9,0,0,0,0,04-APR-2016,
FUTSTK,SRTRANSFIN,30-Jun-2016,0,XX,0,0,0,972.65,940.05,0,0,0,0,05-APR-2016,
FUTSTK,SRTRANSFIN,30-Jun-2016,0,XX,0,0,0,972.65,941.95,0,0,0,0,06-APR-2016,
FUTSTK,SRTRANSFIN,30-Jun-2016,0,XX,0,0,0,972.65,962.25,0,0,0,0,07-APR-2016,
