INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,PIIND,27-May-2021,0,XX,0,0,0,2237.3,2200.75,0,0,0,0,26-FEB-2021,
FUTSTK,PIIND,27-May-2021,0,XX,0,0,0,2237.3,2194.2,0,0,0,0,01-MAR-2021,
FUTSTK,PIIND,27-May-2021,0,XX,0,0,0,2237.3,2295.35,0,0,0,0,02-MAR-2021,
FUTSTK,PIIND,27-May-2021,0,XX,0,0,0,2237.3,2299.15,0,0,0,0,03-MAR-2021,
FUTSTK,PIIND,27-May-2021,0,XX,0,0,0,2237.3,2287.7,0,0,0,0,04-MAR-2021,
FUTSTK,PIIND,27-May-2021,0,XX,0,0,0,2237.3,2282.6,0,0,0,0,05-MAR-2021,
FUTSTK,PIIND,27-May-2021,0,XX,0,0,0,2237.3,2287.2,0,0,0,0,08-MAR-2021,
FUTSTK,PIIND,27-May-2021,0,XX,0,0,0,2237.3,2299.4,0,0,0,0,09-MAR-2021,
FUTSTK,PIIND,27-May-2021,0,XX,0,0,0,2237.3,2308.35,0,0,0,0,10-MAR-2021,
FUTSTK,PIIND,27-May-2021,0,XX,0,0,0,2237.3,2266.2,0,0,0,0,12-MAR-2021,
FUTSTK,PIIND,27-May-2021,0,XX,0,0,0,2237.3,2251.35,0,0,0,0,15-MAR-2021,
FUTSTK,PIIND,27-May-2021,0,XX,0,0,0,2237.3,2254.2,0,0,0,0,16-MAR-2021,
FUTSTK,PIIND,27-May-2021,0,XX,0,0,0,2237.3,2257.9,0,0,0,0,17-MAR-2021,
FUTSTK,PIIND,27-May-2021,0,XX,0,0,0,2237.3,2179.1,0,0,0,0,18-MAR-2021,
FUTSTK,PIIND,27-May-2021,0,XX,0,0,0,2237.3,2295.4,0,0,0,0,19-MAR-2021,
FUTSTK,PIIND,27-May-2021,0,XX,0,0,0,2237.3,2313.6,0,0,0,0,22-MAR-2021,
FUTSTK,PIIND,27-May-2021,0,XX,0,0,0,2237.3,2317.1,0,0,0,0,23-MAR-2021,
FUTSTK,PIIND,27-May-2021,0,XX,2328,2328,2328,2328,2328,1,5.82,250,250,24-MAR-2021,
FUTSTK,PIIND,27-May-2021,0,XX,2326,2326,2326,2326,2309.2,1,5.81,500,250,25-MAR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,0,0,0,2315.85,2293.85,0,0,0,0,26-MAR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,0,0,0,2315.85,2295.35,0,0,0,0,30-Mar-2021
FUTSTK,PIIND,24-Jun-2021,0,XX,2320.25,2320.25,2320.25,2320.25,2277.85,2,11.6,500,500,31-MAR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,0,0,0,2320.25,2269.25,0,0,500,0,01-APR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,0,0,0,2320.25,2229.65,0,0,500,0,05-APR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,0,0,0,2320.25,2325.85,0,0,500,0,06-APR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,2437.9,2437.9,2437.9,2437.9,2442.1,1,6.09,750,250,07-APR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,0,0,0,2437.9,2540.6,0,0,750,0,08-APR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,2640,2640,2640,2640,2578.6,1,6.6,1000,250,09-APR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,2438.35,2438.35,2438.35,2438.35,2482.9,1,6.09,1000,0,12-APR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,0,0,0,2438.35,2465,0,0,1000,0,13-APR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,0,0,0,2438.35,2395.35,0,0,1000,0,15-APR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,0,0,0,2438.35,2513.15,0,0,1000,0,16-APR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,0,0,0,2438.35,2494.6,0,0,1000,0,19-APR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,0,0,0,2438.35,2559.45,0,0,1000,0,20-APR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,0,0,0,2438.35,2593.3,0,0,1000,0,22-APR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,0,0,0,2438.35,2538.75,0,0,1000,0,23-APR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,2520,2540.4,2520,2540.4,2540.4,2,12.65,1500,500,26-APR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,2540.4,2641,2540.4,2636.65,2636.65,36,237.06,8500,7000,27-APR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,2636.65,2636.65,2575,2575,2575,8,52.35,9000,500,28-APR-2021,
FUTSTK,PIIND,24-Jun-2021,0,XX,2587.1,2625,2587.1,2625,2587.85,19,124.53,11000,2000,29-APR-2021,
FUTSTK,PIIND,29-Jul-2021,0,XX,0,0,0,2597.3,2535.05,0,0,0,0,30-APR-2021,
FUTSTK,PIIND,29-Jul-2021,0,XX,0,0,0,2597.3,2538.5,0,0,0,0,03-MAY-2021,
FUTSTK,PIIND,29-Jul-2021,0,XX,0,0,0,2597.3,2511.75,0,0,0,0,04-MAY-2021,
FUTSTK,PIIND,29-Jul-2021,0,XX,0,0,0,2597.3,2695.95,0,0,0,0,05-MAY-2021,
FUTSTK,PIIND,29-Jul-2021,0,XX,2681.45,2681.45,2681.45,2681.45,2687.3,1,6.7,250,250,06-MAY-2021,
FUTSTK,PIIND,29-Jul-2021,0,XX,2706.05,2706.05,2675,2675,2580.8,2,13.45,750,500,07-MAY-2021,
FUTSTK,PIIND,29-Jul-2021,0,XX,2594.75,2740,2594.75,2740,2698,2,13.33,750,0,10-MAY-2021,
FUTSTK,PIIND,29-Jul-2021,0,XX,2698,2698,2698,2698,2720.6,1,6.74,1000,250,11-MAY-2021,
FUTSTK,PIIND,29-Jul-2021,0,XX,0,0,0,2698,2700.25,0,0,1000,0,12-MAY-2021,
FUTSTK,PIIND,29-Jul-2021,0,XX,0,0,0,2698,2718.65,0,0,1000,0,14-MAY-2021,
FUTSTK,PIIND,29-Jul-2021,0,XX,0,0,0,2698,2720.75,0,0,1000,0,17-MAY-2021,
FUTSTK,PIIND,29-Jul-2021,0,XX,2698,2764.6,2698,2764.6,2761.95,2,13.65,1250,250,18-MAY-2021,
FUTSTK,PIIND,29-Jul-2021,0,XX,2593.8,2611.15,2593.8,2594.15,2590.15,3,19.49,2000,750,19-MAY-2021,
FUTSTK,PIIND,29-Jul-2021,0,XX,2610,2610,2608.4,2608.4,2605.45,2,13.04,2500,500,20-MAY-2021,
FUTSTK,PIIND,29-Jul-2021,0,XX,2605.45,2605.45,2600,2600,2585.6,3,19.52,3000,500,21-MAY-2021,
FUTSTK,PIIND,29-Jul-2021,0,XX,2590.15,2590.15,2552.75,2552.75,2566.7,2,12.85,3500,500,24-MAY-2021,
FUTSTK,PIIND,29-Jul-2021,0,XX,0,0,0,2552.75,2580.25,0,0,3500,0,25-MAY-2021,
FUTSTK,PIIND,29-Jul-2021,0,XX,0,0,0,2552.75,2576.25,0,0,3500,0,26-MAY-2021,
FUTSTK,PIIND,29-Jul-2021,0,XX,2571,2627.5,2571,2627.1,2627.1,7,45.81,4500,1000,27-MAY-2021,
FUTSTK,PIIND,26-Aug-2021,0,XX,0,0,0,2637.3,2630.45,0,0,0,0,28-MAY-2021,
FUTSTK,PIIND,26-Aug-2021,0,XX,0,0,0,2637.3,2638.65,0,0,0,0,31-MAY-2021,
FUTSTK,PIIND,26-Aug-2021,0,XX,0,0,0,2637.3,2636.9,0,0,0,0,01-JUN-2021,
