INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,CUB,25-Mar-2021,0,XX,164,167.15,163.2,166,166,242,1239.27,331700,331700,26-FEB-2021,
FUTSTK,CUB,25-Mar-2021,0,XX,167.05,170.85,166.5,170.05,170.05,196,1027.58,548700,217000,01-MAR-2021,
FUTSTK,CUB,25-Mar-2021,0,XX,170.5,180.4,170.45,176.8,176.8,1553,8483.27,2275400,1726700,02-MAR-2021,
FUTSTK,CUB,25-Mar-2021,0,XX,177.9,185,176.7,182.8,182.8,4076,23064.92,7322200,5046800,03-MAR-2021,
FUTSTK,CUB,25-Mar-2021,0,XX,180.9,190.9,178.4,181.7,181.7,4734,27196.97,11070100,3747900,04-MAR-2021,
FUTSTK,CUB,25-Mar-2021,0,XX,181.1,183.25,172.65,173.7,173.7,1681,9248.11,10679500,-390600,05-MAR-2021,
FUTSTK,CUB,25-Mar-2021,0,XX,176.4,179.25,172.05,175.55,175.55,996,5435.61,10499700,-179800,08-MAR-2021,
FUTSTK,CUB,25-Mar-2021,0,XX,176.8,179.8,167.3,172.5,172.5,2093,11277.75,9200800,-1298900,09-MAR-2021,
FUTSTK,CUB,25-Mar-2021,0,XX,174,174.25,168.5,172.95,172.95,916,4877.81,8779200,-421600,10-MAR-2021,
FUTSTK,CUB,25-Mar-2021,0,XX,175.45,177.1,170.7,172.35,172.35,796,4300.49,8552900,-226300,12-MAR-2021,
FUTSTK,CUB,25-Mar-2021,0,XX,171.5,173,167.7,172.2,172.2,640,3379,8450600,-102300,15-MAR-2021,
FUTSTK,CUB,25-Mar-2021,0,XX,171.7,172.5,169.95,170.75,170.75,243,1287.24,8413400,-37200,16-MAR-2021,
FUTSTK,CUB,25-Mar-2021,0,XX,170.65,172.9,168,169.15,169.15,661,3495.87,8109600,-303800,17-MAR-2021,
FUTSTK,CUB,25-Mar-2021,0,XX,171.45,173.35,160.3,167.35,167.35,1159,6049.56,7480300,-629300,18-MAR-2021,
FUTSTK,CUB,25-Mar-2021,0,XX,165.8,172.8,163.1,170.35,170.35,623,3263.1,7359400,-120900,19-MAR-2021,
FUTSTK,CUB,25-Mar-2021,0,XX,168.6,171.1,168.05,169.85,169.85,680,3568.89,6333300,-1026100,22-MAR-2021,
FUTSTK,CUB,25-Mar-2021,0,XX,170.8,172.45,168.15,169.1,169.1,728,3839,5480800,-852500,23-MAR-2021,
FUTSTK,CUB,25-Mar-2021,0,XX,167.75,169,162.9,163.8,163.8,1256,6450.92,2910900,-2569900,24-MAR-2021,
FUTSTK,CUB,25-Mar-2021,0,XX,164,164,155.8,160.65,160.8,1241,6168.98,310000,-2600900,25-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,163,165.55,159.9,160.95,160.95,394,1985.05,7012200,27900,26-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,160.15,162.50,151.25,155.50,155.50,1274,6200.22,8205700,1193500,30-Mar-2021
FUTSTK,CUB,29-Apr-2021,0,XX,156.7,160.2,155.1,156.4,156.4,1020,4996.85,8391700,37200,31-MAR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,158.5,162.7,157.2,162.15,162.15,534,2651.07,8363800,-27900,01-APR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,161.1,161.1,156,157.1,157.1,617,3012.18,8109600,-254200,05-APR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,158.35,159.2,155.75,156.4,156.4,376,1836.25,8314200,204600,06-APR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,157.7,167.9,157.7,166,166,1808,9207.57,8435100,120900,07-APR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,167.75,169,165.6,167,167,693,3596.37,7945300,-489800,08-APR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,165.65,169,165.05,166.65,166.65,417,2158.73,7979400,34100,09-APR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,164.55,164.55,157.4,160,160,716,3560.57,7322200,-657200,12-APR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,160.9,165.2,160.9,163.15,163.15,350,1772.34,7337700,15500,13-APR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,162.75,166.2,159.6,162.35,162.35,709,3587.26,7638400,300700,15-APR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,163.1,164.85,161.25,161.9,161.9,358,1810.43,7350100,-288300,16-APR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,159.05,160,156,158.3,158.3,288,1413.92,7343900,-6200,19-APR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,159.85,161.3,157.9,158.3,158.3,229,1131.24,7151700,-192200,20-APR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,156.55,160,156.4,159.5,159.5,363,1787.07,6705300,-446400,22-APR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,159,168.4,159,165.35,165.35,995,5080.28,5893100,-812200,23-APR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,166.85,167.5,163.65,164.9,164.9,715,3664.97,4987900,-905200,26-APR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,164.8,166,163.5,164.75,164.75,548,2795.14,3906000,-1081900,27-APR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,164.3,170.25,164.3,168.45,168.45,1184,6188.21,2498600,-1407400,28-APR-2021,
FUTSTK,CUB,29-Apr-2021,0,XX,170.25,171.25,167.75,168.1,168.65,676,3542.8,1686400,-812200,29-APR-2021,
FUTSTK,CUB,27-May-2021,0,XX,168,170.15,166.5,167.25,167.25,269,1403.51,4867000,37200,30-APR-2021,
FUTSTK,CUB,27-May-2021,0,XX,164.7,170.85,163.8,170.25,170.25,369,1922.12,4854600,-12400,03-MAY-2021,
FUTSTK,CUB,27-May-2021,0,XX,173.65,173.65,165.8,167.45,167.45,420,2200.41,4721300,-133300,04-MAY-2021,
FUTSTK,CUB,27-May-2021,0,XX,168.45,171.95,167,170.7,170.7,331,1748.04,4743000,21700,05-MAY-2021,
FUTSTK,CUB,27-May-2021,0,XX,171.1,174.75,170.6,171.8,171.8,696,3728.16,5053000,310000,06-MAY-2021,
FUTSTK,CUB,27-May-2021,0,XX,172.9,174.05,170.7,171.5,171.5,298,1590.77,5102600,49600,07-MAY-2021,
FUTSTK,CUB,27-May-2021,0,XX,171.8,172.65,167.2,168.35,168.35,596,3128.53,5397100,294500,10-MAY-2021,
FUTSTK,CUB,27-May-2021,0,XX,167.35,169.3,165.8,166.95,166.95,408,2119.86,5449800,52700,11-MAY-2021,
FUTSTK,CUB,27-May-2021,0,XX,166.7,169,165.2,166.25,166.25,354,1834.91,5530400,80600,12-MAY-2021,
FUTSTK,CUB,27-May-2021,0,XX,165.9,167.7,162.2,163.1,163.1,649,3295.47,4969300,-561100,14-MAY-2021,
FUTSTK,CUB,27-May-2021,0,XX,163.5,170.5,163.5,169.9,169.9,555,2882.55,5040600,71300,17-MAY-2021,
FUTSTK,CUB,27-May-2021,0,XX,172,172.5,168.6,171.05,171.05,525,2776.36,4894900,-145700,18-MAY-2021,
FUTSTK,CUB,27-May-2021,0,XX,170.5,173,169.15,170.85,170.85,455,2419.13,4956900,62000,19-MAY-2021,
FUTSTK,CUB,27-May-2021,0,XX,170.2,175.15,170.2,172.3,172.3,634,3395.01,4997200,40300,20-MAY-2021,
FUTSTK,CUB,27-May-2021,0,XX,173.25,176.25,172.75,175.85,175.85,780,4235.74,4690300,-306900,21-MAY-2021,
FUTSTK,CUB,27-May-2021,0,XX,177.6,179,175.55,177.05,177.05,1032,5664.6,4154000,-536300,24-MAY-2021,
FUTSTK,CUB,27-May-2021,0,XX,178.35,178.4,172.15,173.45,173.45,766,4140.36,2861300,-1292700,25-MAY-2021,
FUTSTK,CUB,27-May-2021,0,XX,174.05,174.7,169.95,174.2,174.2,924,4939.13,988900,-1872400,26-MAY-2021,
FUTSTK,CUB,27-May-2021,0,XX,172.85,175.9,171.35,173.4,173.9,486,2616.92,266600,-722300,27-MAY-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,175.05,175.8,173.35,174.65,174.65,407,2202.87,5297900,77500,28-MAY-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,172.5,178.75,170.35,172.6,172.6,1575,8490.63,5384700,86800,31-MAY-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,172.75,172.75,166.85,167.3,167.3,885,4628.84,5812500,427800,01-JUN-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,167.55,168.6,167,168.3,168.3,491,2554.97,6048100,235600,02-JUN-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,169,170.5,167.5,167.95,167.95,480,2506.18,6494500,446400,03-JUN-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,167.65,169.1,166,166.8,166.8,703,3646.38,6634000,139500,04-JUN-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,167.6,170.2,166.3,168.1,168.1,877,4582.44,6838600,204600,07-JUN-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,168.1,168.55,165.6,166.2,166.2,796,4119.11,7712800,874200,08-JUN-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,167,168.3,163.7,164.45,164.45,837,4311.57,7886400,173600,09-JUN-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,164.85,167.9,164.2,167.45,167.45,781,4023.97,7672500,-213900,10-JUN-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,168,174.6,167.65,170.05,170.05,2759,14637.67,9650300,1977800,11-JUN-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,170.65,173,166.85,170.55,170.55,1096,5791.95,9972700,322400,14-JUN-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,171,171.85,168.9,169.2,169.2,457,2409.44,9991300,18600,15-JUN-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,169.1,170.25,166.8,168.05,168.05,598,3120.39,9848700,-142600,16-JUN-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,167,167,163.55,165.8,165.8,739,3794.75,9303100,-545600,17-JUN-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,166.55,166.6,160.8,164.45,164.45,829,4188.73,8695500,-607600,18-JUN-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,162.5,165.9,159.5,165.45,165.45,919,4681.22,7123800,-1571700,21-JUN-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,166.4,166.7,163.1,163.5,163.5,1212,6194.92,4333800,-2790000,22-JUN-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,163.65,168.35,163.6,167.7,167.7,1401,7204.61,1760800,-2573000,23-JUN-2021,
FUTSTK,CUB,24-Jun-2021,0,XX,168.6,175.5,167.5,172.95,172.85,1501,8025.14,170500,-1590300,24-JUN-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,174.05,178.75,173.85,175.35,175.35,1945,10622.8,10242400,644800,25-JUN-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,176.55,176.7,170.85,172.2,172.2,834,4479.05,10326100,83700,28-JUN-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,171.7,173.6,169.05,170.9,170.9,844,4488.67,10642300,316200,29-JUN-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,170.45,170.9,167.15,167.6,167.6,653,3413.92,10673300,31000,30-JUN-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,167.9,168.15,165.2,165.6,165.6,508,2614.74,10512100,-161200,01-JUL-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,165.55,166,164.05,165.05,165.05,599,3068.34,10409800,-102300,02-JUL-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,165.45,168.15,165.1,165.7,165.7,601,3097.17,10642300,232500,05-JUL-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,166.55,169.6,165.4,166.4,166.4,1137,5900.52,10896500,254200,06-JUL-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,166.8,167.3,165,165.85,165.85,612,3148.26,11240600,344100,07-JUL-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,165.75,166.8,161.55,162.9,162.9,806,4098.11,11147600,-93000,08-JUL-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,161.6,162.55,160.4,162.15,162.15,606,3040.89,11163100,15500,09-JUL-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,162.55,164.2,161.7,162.35,162.35,595,3001.88,11293300,130200,12-JUL-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,162.95,163.95,162.2,163.55,163.55,462,2335.37,11268500,-24800,13-JUL-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,163.4,163.8,162.25,162.65,162.65,395,1992.95,11122800,-145700,14-JUL-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,163,164.95,162.05,162.3,162.3,642,3247.36,11212700,89900,15-JUL-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,162.6,162.85,161.8,162.4,162.4,338,1701.63,11271600,58900,16-JUL-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,160.95,161.1,157.5,158.65,158.65,997,4914.42,10701200,-570400,19-JUL-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,158.45,159,153.15,153.5,153.5,1391,6681.03,9780500,-920700,20-JUL-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,154.75,155.75,154.05,154.35,154.35,538,2582.32,9455000,-325500,22-JUL-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,154.95,156.8,153.8,155.7,155.7,509,2455.31,9014800,-440200,23-JUL-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,154.45,155.55,153.2,153.45,153.45,975,4672.35,7238500,-1776300,26-JUL-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,154.35,154.7,150.4,151.75,151.75,1277,6041.83,5105700,-2132800,27-JUL-2021,
FUTSTK,CUB,29-Jul-2021,0,XX,147.7,152,147.7,149.75,149.75,1473,6862.38,2340500,-2765200,28-JUL-2021,
